ATTENTION: regname in Table must be the same as those in LABVIEW  testmode: 1->N 2->P 3->DIFF,,,,,,,,,,,
Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case
tia_op_vref_threshold,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b1,WF_RX_HB_ON
tia_vcm_ref,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b10,WF_RX_HB_ON
tia_ldo_out,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b11,WF_RX_HB_ON
tia_q_op,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b100,WF_RX_HB_ON
tia_i_op,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b101,WF_RX_HB_ON
tia_q_ip,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b110,WF_RX_HB_ON
tia_i_ip,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b111,WF_RX_HB_ON
tia_iref_ldo,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,WF_RX_HB_ON
tia_iref,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,WF_RX_HB_ON
tia_q_on,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b100,WF_RX_HB_ON
tia_i_on,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b101,WF_RX_HB_ON
tia_q_in,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b110,WF_RX_HB_ON
tia_i_in,WF,TIA,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b111,WF_RX_HB_ON
xtal_reg_core_half,CM,XTAL,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b10,
xtal_dvdd_clk,CM,XTAL,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b11,
xtal_dvdd_lpo,CM,XTAL,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b0,
xtal_ibias_lpo,CM,XTAL,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,
lna_bt_balun_IR_drop,BT,LNA,,,bt_test_enable_lna,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b0,BT_RX_ON
lna_bt_dvdd,BT,LNA,,,bt_test_enable_lna,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b1,BT_RX_ON
lna_bt_vbias,BT,LNA,,,bt_test_enable_lna,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b10,BT_RX_ON
lna_bt_vbcg,BT,LNA,,,bt_test_enable_lna,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b11,BT_RX_ON
,,,,,,,,,,,
avdd_clkbuf,CM,MDLL,,,cm_test_enable_mdll,1'b1,,,cfg_ana_test_bit,3'b111,MDLL_ON
cp_out0,CM,MDLL,,,cm_test_enable_mdll,1'b1,,,cfg_ana_test_bit,3'b011,MDLL_ON
cp_out1,CM,MDLL,,,cm_test_enable_mdll,1'b1,,,cfg_ana_test_bit,3'b010,MDLL_ON
avdd_logic,CM,MDLL,,,cm_test_enable_mdll,1'b1,,,cfg_ana_test_bit,3'b001,MDLL_ON
avdd_sw,CM,MDLL,,,cm_test_enable_mdll,1'b1,,,cfg_ana_test_bit,3'b000,MDLL_ON
reg_buf,LO,VCO,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,PLL_ON
reg_vco,LO,VCO,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,PLL_ON
avdd13_sw,LO,VCO,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,PLL_ON
isense_in0_diff,LO,VCO,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,PLL_ON
isense_in1_diff,LO,VCO,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,PLL_ON
reg_vco,BT,BT_VCO,,,bt_test_enable_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,BT_PLL_ON
,,,,,,,,,,,
dvdd,WF,RFPLL,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF_PLL_ON
avdd_pdt,WF,RFPLL,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF_PLL_ON
avdd_presc,WF,RFPLL,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b110,WF_PLL_ON
cp_outp,WF,RFPLL,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b111,WF_PLL_ON
cp_outn,WF,RFPLL,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b100,WF_PLL_ON
dvdd,BT,RFPLL,pmu_msadc_pu_cpus,1'b1,bt_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,BT_TX_ON
avdd_pdt,BT,RFPLL,pmu_msadc_pu_cpus,1'b1,bt_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,BT_TX_ON
cp_outn,BT,RFPLL,pmu_msadc_pu_cpus,1'b1,bt_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,BT_TX_ON
cp_outp,BT,RFPLL,pmu_msadc_pu_cpus,1'b1,bt_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,BT_TX_ON
trmx_isense_ref,BT,TMX,pmu_msadc_pu_cpus,1'b1,bt_test_enable_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,BT_TX_ON
vb_casd_idac,BT,TMX,pmu_msadc_pu_cpus,1'b1,bt_test_enable_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,BT_TX_ON
