ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,1436,-9.10,19.19
0,7,1438,-9.09,19.19
0,7,1440,-9.08,19.20
0,7,1442,-9.07,19.21
0,7,1444,-9.06,19.23
0,7,1446,-9.04,19.24
0,7,1448,-9.03,19.25
0,7,1450,-9.02,19.27
0,7,1452,-9.01,19.28
0,7,1454,-9.00,19.30
0,7,1456,-8.98,19.30
0,7,1458,-8.97,19.32
0,7,1460,-8.96,19.33
0,7,1462,-8.95,19.33
0,7,1464,-8.94,19.34
0,7,1466,-8.92,19.36
0,7,1468,-8.91,19.40
0,7,1470,-8.90,19.41
0,7,1472,-8.89,19.43
0,7,1474,-8.88,19.43
0,7,1476,-8.87,19.45
0,7,1478,-8.85,19.46
0,7,1480,-8.84,19.48
0,7,1482,-8.83,19.49
0,7,1484,-8.82,19.49
0,7,1486,-8.81,19.53
0,7,1488,-8.80,19.53
0,7,1490,-8.78,19.54
0,7,1492,-8.77,19.55
0,7,1494,-8.76,19.57
0,7,1496,-8.75,19.57
0,7,1498,-8.74,19.58
0,7,1500,-8.73,19.60
0,7,1502,-8.71,19.61
0,7,1504,-8.70,19.62
0,7,1506,-8.69,19.65
0,7,1508,-8.68,19.65
0,7,1510,-8.67,19.66
0,7,1512,-8.66,19.67
0,7,1514,-8.64,19.69
0,7,1516,-8.63,19.68
0,7,1518,-8.62,19.71
0,7,1520,-8.61,19.71
0,7,1522,-8.60,19.72
0,7,1524,-8.59,19.73
0,7,1526,-8.58,19.74
0,7,1528,-8.56,19.76
0,7,1530,-8.55,19.78
0,7,1532,-8.54,19.79
0,7,1534,-8.53,19.80
0,7,1536,-8.52,19.82
0,7,1538,-8.51,19.82
0,7,1540,-8.50,19.81
0,7,1542,-8.49,19.84
0,7,1544,-8.47,19.85
0,7,1546,-8.46,19.86
0,7,1548,-8.45,19.88
0,7,1550,-8.44,19.89
0,7,1552,-8.43,19.91
0,7,1554,-8.42,19.92
0,7,1556,-8.41,19.93
0,7,1558,-8.40,19.93
0,7,1560,-8.38,19.94
0,7,1562,-8.37,19.96
0,7,1564,-8.36,19.96
0,7,1566,-8.35,19.97
0,7,1568,-8.34,19.96
0,7,1570,-8.33,19.96
0,7,1572,-8.32,19.98
0,7,1574,-8.31,20.00
0,7,1576,-8.30,20.01
0,7,1578,-8.29,20.02
0,7,1580,-8.27,20.04
0,7,1582,-8.26,20.05
0,7,1584,-8.25,20.05
0,7,1586,-8.24,20.05
0,7,1588,-8.23,20.07
0,7,1590,-8.22,20.08
0,7,1592,-8.21,20.09
0,7,1594,-8.20,20.11
0,7,1596,-8.19,20.12
0,7,1598,-8.18,20.12
0,7,1600,-8.16,20.14
0,7,1602,-8.15,20.15
0,7,1604,-8.14,20.16
0,7,1606,-8.13,20.16
0,7,1608,-8.12,20.18
0,7,1610,-8.11,20.19
0,7,1612,-8.10,20.19
0,7,1614,-8.09,20.21
0,7,1616,-8.08,20.23
0,7,1618,-8.07,20.23
0,7,1620,-8.06,20.24
0,7,1622,-8.05,20.24
0,7,1624,-8.04,20.26
0,7,1626,-8.02,20.27
0,7,1628,-8.01,20.28
0,7,1630,-8.00,20.30
0,7,1632,-7.99,20.30
0,7,1634,-7.98,20.31
0,7,1636,-7.97,20.32
0,7,1638,-7.96,20.33
0,7,1640,-7.95,20.35
0,7,1642,-7.94,20.36
0,7,1644,-7.93,20.36
0,7,1646,-7.92,20.37
0,7,1648,-7.91,20.38
0,7,1650,-7.90,20.41
0,7,1652,-7.89,20.41
0,7,1654,-7.88,20.42
0,7,1656,-7.87,20.43
0,7,1658,-7.86,20.44
0,7,1660,-7.85,20.44
0,7,1662,-7.83,20.47
0,7,1664,-7.82,20.47
0,7,1666,-7.81,20.48
0,7,1668,-7.80,20.49
