test_time, BoardNo, am, phase, BinVersion,freq, Channel, SetPwr, pwr, freq, Current
0821_194145,5,0.5,-100,testmode_8819h_820_high_apc,2442,7,18,9.51,2446.06,199.86
0821_194150,5,0.5,-80,testmode_8819h_820_high_apc,2442,7,18,9.68,2446.06,200.29
0821_194156,5,0.5,-60,testmode_8819h_820_high_apc,2442,7,18,9.11,2446.06,200.7
0821_194201,5,0.5,-40,testmode_8819h_820_high_apc,2442,7,18,8.13,2446.06,200.75
0821_194207,5,0.5,-20,testmode_8819h_820_high_apc,2442,7,18,7.11,2446.08,200.65
0821_194213,5,0.5,0,testmode_8819h_820_high_apc,2442,7,18,6.18,2446.06,200.47
0821_194218,5,0.5,20,testmode_8819h_820_high_apc,2442,7,18,5.37,2446.06,200.31
0821_194224,5,0.5,40,testmode_8819h_820_high_apc,2442,7,18,4.75,2446.06,200.2
0821_194230,5,0.5,60,testmode_8819h_820_high_apc,2442,7,18,4.39,2446.06,200.19
0821_194235,5,0.5,80,testmode_8819h_820_high_apc,2442,7,18,4.14,2446.08,199.85
0821_194241,5,0.5,100,testmode_8819h_820_high_apc,2442,7,18,4.08,2446.06,199.92
0821_194247,5,0.5,120,testmode_8819h_820_high_apc,2442,7,18,4.17,2446.06,199.71
0821_194252,5,0.5,140,testmode_8819h_820_high_apc,2442,7,18,4.41,2446.06,199.74
0821_194258,5,0.5,160,testmode_8819h_820_high_apc,2442,7,18,4.94,2446.06,199.6
0821_194303,5,0.4,-180,testmode_8819h_820_high_apc,2442,7,18,6.48,2446.06,199.42
0821_194309,5,0.4,-150,testmode_8819h_820_high_apc,2442,7,18,7.64,2446.06,199.43
0821_194315,5,0.4,-120,testmode_8819h_820_high_apc,2442,7,18,8.82,2446.06,199.68
0821_194320,5,0.4,-90,testmode_8819h_820_high_apc,2442,7,18,9.42,2446.06,200.01
0821_194326,5,0.4,-60,testmode_8819h_820_high_apc,2442,7,18,9.0,2446.06,200.43
