ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,106,3712,71.39,20.73,21.82,118.39,151.92
1,106,3776,71.54,20.73,21.81,118.35,151.78
1,106,3840,71.69,20.73,21.82,118.31,151.96
1,106,3904,71.83,20.73,21.82,118.43,152.00
1,106,3968,71.97,20.75,21.81,118.87,151.55
1,106,4032,72.11,20.71,21.81,117.80,151.85
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,122,640,56.12,6.78,7.95,4.76,6.24
0,122,704,56.95,7.43,8.77,5.54,7.53
0,122,768,57.71,7.95,9.52,6.24,8.95
0,122,832,58.40,8.83,10.19,7.64,10.45
0,122,896,59.05,9.36,10.84,8.64,12.14
0,122,960,59.65,10.13,11.48,10.30,14.05
0,122,1024,60.21,10.70,12.10,11.74,16.23
0,122,1088,60.73,11.29,12.62,13.47,18.30
0,122,1152,61.23,11.75,13.15,14.95,20.64
0,122,1216,61.70,12.31,13.61,17.01,22.98
0,122,1280,62.14,12.69,14.09,18.56,25.62
0,122,1344,62.57,12.99,14.50,19.93,28.20
0,122,1408,62.97,13.40,14.86,21.88,30.63
0,122,1472,63.36,13.83,15.21,24.17,33.20
0,122,1536,63.73,14.09,15.56,25.65,36.00
0,122,1600,64.08,14.40,15.90,27.57,38.89
0,122,1664,64.42,14.89,16.27,30.85,42.36
0,122,1728,64.75,15.18,16.62,32.99,45.87
0,122,1792,65.07,15.50,16.89,35.50,48.85
0,122,1856,65.37,15.74,17.21,37.49,52.61
0,122,1920,65.67,16.05,17.48,40.30,56.00
0,122,1984,65.95,16.35,17.74,43.14,59.46
0,122,2048,66.23,16.56,17.99,45.28,62.93
0,122,2112,66.49,16.80,18.19,47.83,65.89
0,122,2176,66.75,16.97,18.48,49.75,70.45
0,122,2240,67.00,17.22,18.72,52.77,74.40
0,122,2304,67.25,17.47,18.95,55.84,78.58
0,122,2368,67.49,17.70,19.19,58.94,82.90
0,122,2432,67.72,17.94,19.41,62.26,87.21
0,122,2496,67.94,18.13,19.62,64.95,91.64
0,122,2560,68.16,18.33,19.82,68.05,95.87
0,122,2624,68.38,18.49,20.00,70.71,100.05
0,122,2688,68.59,18.67,20.22,73.66,105.14
0,122,2752,68.79,18.87,20.42,77.13,110.04
0,122,2816,68.99,19.07,20.57,80.64,114.10
0,122,2880,69.19,19.23,20.75,83.81,118.91
0,122,2944,69.38,19.38,20.93,86.65,123.76
0,122,3008,69.57,19.54,21.04,89.90,126.94
0,122,3072,69.75,19.66,21.20,92.44,131.89
0,122,3136,69.93,19.81,21.36,95.80,136.73
0,122,3200,70.10,20.01,21.53,100.23,142.11
0,122,3264,70.28,20.13,21.68,103.15,147.28
0,122,3328,70.44,20.29,21.84,106.95,152.66
0,122,3392,70.61,20.44,21.99,110.71,158.21
0,122,3456,70.77,20.54,22.13,113.22,163.22
0,122,3520,70.93,20.61,22.20,115.07,165.77
0,122,3584,71.09,20.60,22.20,114.77,165.87
0,122,3648,71.24,20.59,22.19,114.55,165.77
0,122,3712,71.39,20.62,22.19,115.40,165.75
0,122,3776,71.54,20.58,22.19,114.37,165.50
0,122,3840,71.69,20.61,22.19,114.99,165.43
0,122,3904,71.83,20.60,22.17,114.85,164.98
0,122,3968,71.97,20.60,22.18,114.81,165.21
0,122,4032,72.11,20.59,22.18,114.48,165.06
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
1,122,640,56.12,7.22,8.00,5.28,6.31
1,122,704,56.95,7.74,8.79,5.94,7.57
1,122,768,57.71,8.70,9.58,7.42,9.07
1,122,832,58.40,9.40,10.31,8.71,10.73
1,122,896,59.05,10.10,10.96,10.22,12.47
1,122,960,59.65,10.72,11.59,11.81,14.43
1,122,1024,60.21,11.35,12.18,13.65,16.52
1,122,1088,60.73,11.89,12.72,15.46,18.69
1,122,1152,61.23,12.32,13.22,17.05,21.00
1,122,1216,61.70,12.76,13.68,18.89,23.32
1,122,1280,62.14,13.21,14.10,20.96,25.70
1,122,1344,62.57,13.66,14.52,23.25,28.30
1,122,1408,62.97,14.09,14.91,25.65,30.94
1,122,1472,63.36,14.44,15.28,27.79,33.71
1,122,1536,63.73,14.78,15.65,30.08,36.69
1,122,1600,64.08,15.14,15.97,32.62,39.57
1,122,1664,64.42,15.38,16.28,34.54,42.49
1,122,1728,64.75,15.76,16.59,37.68,45.60
1,122,1792,65.07,16.04,16.91,40.15,49.06
1,122,1856,65.37,16.38,17.24,43.44,52.99
1,122,1920,65.67,16.65,17.52,46.24,56.48
1,122,1984,65.95,16.91,17.79,49.12,60.13
1,122,2048,66.23,17.22,18.05,52.70,63.81
1,122,2112,66.49,17.39,18.30,54.88,67.65
1,122,2176,66.75,17.64,18.53,58.09,71.29
1,122,2240,67.00,17.91,18.76,61.78,75.14
1,122,2304,67.25,18.16,18.98,65.39,79.10
1,122,2368,67.49,18.37,19.21,68.64,83.36
1,122,2432,67.72,18.58,19.44,72.15,87.86
1,122,2496,67.94,18.77,19.64,75.36,92.01
1,122,2560,68.16,18.97,19.85,78.83,96.64
1,122,2624,68.38,19.19,20.05,82.96,101.04
1,122,2688,68.59,19.39,20.25,86.84,105.99
1,122,2752,68.79,19.55,20.43,90.12,110.50
1,122,2816,68.99,19.70,20.61,93.29,115.12
1,122,2880,69.19,19.88,20.79,97.17,119.87
1,122,2944,69.38,20.07,20.95,101.52,124.36
1,122,3008,69.57,20.20,21.13,104.62,129.63
1,122,3072,69.75,20.34,21.28,108.24,134.23
1,122,3136,69.93,20.47,21.43,111.49,138.99
1,122,3200,70.10,20.62,21.58,115.29,143.83
1,122,3264,70.28,20.75,21.73,118.91,148.94
1,122,3328,70.44,20.92,21.87,123.56,153.96
1,122,3392,70.61,21.04,22.02,127.10,159.33
1,122,3456,70.77,21.12,22.10,129.46,162.13
1,122,3520,70.93,21.10,22.09,128.76,161.72
1,122,3584,71.09,21.10,22.10,128.68,162.14
1,122,3648,71.24,21.09,22.08,128.50,161.37
1,122,3712,71.39,21.10,22.09,128.76,161.92
1,122,3776,71.54,21.10,22.09,128.83,161.73
1,122,3840,71.69,21.10,22.08,128.83,161.50
1,122,3904,71.83,21.08,22.09,128.32,161.70
1,122,3968,71.97,21.08,22.08,128.32,161.40
1,122,4032,72.11,21.08,22.08,128.17,161.36
ant, ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
0,138,640,56.12,8.25,8.90,6.68,7.76
0,138,704,56.95,8.83,9.73,7.64,9.39
0,138,768,57.71,9.74,10.50,9.41,11.22
0,138,832,58.40,10.22,11.19,10.52,13.15
0,138,896,59.05,10.97,11.83,12.51,15.24
0,138,960,59.65,11.64,12.44,14.58,17.56
0,138,1024,60.21,12.04,13.06,15.98,20.23
0,138,1088,60.73,12.64,13.56,18.38,22.72
0,138,1152,61.23,13.10,14.06,20.41,25.49
0,138,1216,61.70,13.69,14.56,23.40,28.61
0,138,1280,62.14,14.03,14.99,25.28,31.56
0,138,1344,62.57,14.50,15.34,28.19,34.22
0,138,1408,62.97,14.81,15.73,30.26,37.41
0,138,1472,63.36,15.15,16.07,32.77,40.44
0,138,1536,63.73,15.50,16.43,35.46,43.91
0,138,1600,64.08,15.85,16.77,38.45,47.56
0,138,1664,64.42,16.24,17.16,42.07,52.06
0,138,1728,64.75,16.52,17.49,44.88,56.04
0,138,1792,65.07,16.87,17.78,48.64,60.01
0,138,1856,65.37,17.18,18.10,52.26,64.62
0,138,1920,65.67,17.45,18.39,55.61,69.04
0,138,1984,65.95,17.66,18.64,58.35,73.20
0,138,2048,66.23,17.91,18.89,61.85,77.45
0,138,2112,66.49,18.14,19.11,65.14,81.55
0,138,2176,66.75,18.34,19.34,68.27,85.93
0,138,2240,67.00,18.57,19.59,71.89,90.90
0,138,2304,67.25,18.84,19.84,76.58,96.48
0,138,2368,67.49,19.08,20.06,80.97,101.34
0,138,2432,67.72,19.30,20.29,85.06,106.88
0,138,2496,67.94,19.47,20.51,88.57,112.33
0,138,2560,68.16,19.65,20.69,92.33,117.23
0,138,2624,68.38,19.85,20.87,96.50,122.28
0,138,2688,68.59,19.96,21.03,98.98,126.75
0,138,2752,68.79,20.13,21.21,103.07,132.12
0,138,2816,68.99,20.28,21.40,106.73,137.93
