BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,8,r 403422c8  [0x403422C8] = 0xCB3F474C    ,11.76,-39.73
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4755    ,12.68,-40.26
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F475F    ,13.61,-41.02
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,14.63,-41.31
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,15.57,-41.15
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,16.56,-39.94
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,17.54,-38.07
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,18.52,-36.11
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,16,r 40422c8  [0x403422C8] = 0xD53F4B83    ,19.44,-34.86
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,17,r 401422c8  [0x403422C8] = 0xD53F4B93    ,20.39,-32.19
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4BA5    ,21.34,-30.25
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BB9    ,22.17,-29.58
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D9D    ,23.00,-29.21
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,21,r 401422c8  [0x403422C8] = 0xDE3F4DB0    ,23.75,-28.47
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DC6    ,24.42,-27.68
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DDE    ,24.96,-26.67
#A1_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,24,r 403422c8  [0x403422C8] = 0xDF3F4FB5    ,24.48,-26.33
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,8,r 40422c8  [0x403422C8] = 0xCB3F474C    ,11.37,-43.29
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4755    ,12.43,-43.68
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F4760    ,13.51,-43.47
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,14.46,-42.81
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,15.48,-43.19
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,16.48,-42.66
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,17.43,-40.51
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,15,r 403422c8  [0x403422C8] = 0xCC3F4989    ,18.40,-37.26
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,16,r 40342"c8  [0x403422C8] = 0xD53F4B81    ,19.27,-36.13
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,17,r 403422c8  [0x403422C8] = 0xD53F4B91    ,20.21,-32.99
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,18,r 403422c8  [0x403422C8] = 0xD53F4BA3    ,21.13,-30.40
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,19,r 403422c8  [0x403422C8] = 0xD53F4BB7    ,21.99,-29.64
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,20,r 403422c8  [0x403422C8] = 0xDE3F4D96    ,22.81,-29.27
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,21,r 403422c8  [0x403422C8] = 0xDE3F4DA9    ,23.58,-28.55
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,22,r 403422c8  [0x403422C8] = 0xDE3F4DBD    ,24.22,-27.82
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,23,r 403422c8  [0x403422C8] = 0xDE3F4DD4    ,24.78,-26.88
#A1_ANT1,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,24,r 401422c8  [0x403422C8] = 0xDF3F4FB5    ,24.84,-26.17
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,8,r 403422c8  [0x403422C8] = 0xCB3F474C    ,11.54,-40.31
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,9,r 403422c8  [0x403422C8] = 0xCB3F4755    ,12.47,-41.17
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,10,r 403422c8  [0x403422C8] = 0xCB3F4760    ,13.40,-41.61
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,11,r 403422c8  [0x403422C8] = 0xCB3F476B    ,14.44,-41.71
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,12,r 403422c8  [0x403422C8] = 0xCC3F4961    ,15.41,-41.34
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,13,r 403422c8  [0x403422C8] = 0xCC3F496D    ,16.37,-40.46
#A2_ANT0,testmode_8822_1022_2g4_high_rate.bin,7,5 11,1 1,4000,14,r 403422c8  [0x403422C8] = 0xCC3F497A    ,17.35,-38.31
