CH, Rate, R403422c8, lb0_tmx_cbit, lb0_padrv_cbit, lb1_tmx_cbit, lb1_padrv_cbit, hb0_tmx_cbit, hb0_padrv_cbit, hb1_tmx_cbit, hb1_padrc_cbit
42,5 11,0xC23F5597,8,8,8,8,9,16,9,16
42,5 11,0xC23F55A9,8,8,8,8,9,16,9,16
42,5 11,0xC33F5778,8,8,8,8,9,16,9,16
42,5 11,0xC33F5786,8,8,8,8,9,16,9,16
42,5 11,0xC33F5796,8,8,8,8,9,16,9,16
42,5 11,0xC33F57A9,8,8,8,8,9,16,9,16
42,5 11,0xD43F596E,8,8,8,8,9,16,9,16
42,5 11,0xD43F597B,8,8,8,8,9,16,9,16
42,5 11,0xD43F598B,8,8,8,8,9,16,9,16
42,5 11,0xD43F599B,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B66,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B72,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B80,8,8,8,8,9,16,9,16
42,5 11,0xD53F5B90,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D61,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D6D,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D7A,8,8,8,8,9,16,9,16
42,5 11,0xDE3F5D89,8,8,8,8,9,16,9,16
42,5 11,0xDF3F5F8A,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5F9B,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FAE,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FC3,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FC3,8,8,8,8,6,19,6,19
42,5 11,0xDF3F5FC3,8,8,8,8,6,19,6,19
58,5 11,0xC23F5594,8,8,8,8,8,14,8,14
58,5 11,0xC23F55A6,8,8,8,8,8,14,8,14
58,5 11,0xC33F5776,8,8,8,8,8,14,8,14
58,5 11,0xC33F5784,8,8,8,8,8,14,8,14
58,5 11,0xC33F5794,8,8,8,8,8,14,8,14
58,5 11,0xC33F57A6,8,8,8,8,8,14,8,14
58,5 11,0xD43F596C,8,8,8,8,8,14,8,14
58,5 11,0xD43F597A,8,8,8,8,8,14,8,14
58,5 11,0xD43F5989,8,8,8,8,8,14,8,14
58,5 11,0xD43F5999,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B66,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B72,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B80,8,8,8,8,8,14,8,14
58,5 11,0xD53F5B90,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D61,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D6D,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D7A,8,8,8,8,8,14,8,14
58,5 11,0xDE3F5D89,8,8,8,8,8,14,8,14
58,5 11,0xDF3F5F7C,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5F8B,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5F9C,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB0,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB0,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB0,8,8,8,8,5,17,5,17
58,5 11,0xDF3F5FB0,8,8,8,8,5,17,5,17
106,5 11,0xC23F556E,8,8,8,8,7,12,7,12
106,5 11,0xC23F557B,8,8,8,8,7,12,7,12
106,5 11,0xC23F558A,8,8,8,8,7,12,7,12
106,5 11,0xC23F559B,8,8,8,8,7,12,7,12
106,5 11,0xC33F576E,8,8,8,8,7,12,7,12
106,5 11,0xC33F577B,8,8,8,8,7,12,7,12
106,5 11,0xC33F578A,8,8,8,8,7,12,7,12
106,5 11,0xC33F579B,8,8,8,8,7,12,7,12
106,5 11,0xD43F5968,8,8,8,8,7,12,7,12
106,5 11,0xD43F5975,8,8,8,8,7,12,7,12
106,5 11,0xD43F5983,8,8,8,8,7,12,7,12
106,5 11,0xD43F5993,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B66,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B72,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B80,8,8,8,8,7,12,7,12
106,5 11,0xD53F5B90,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D64,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D71,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D7E,8,8,8,8,7,12,7,12
106,5 11,0xDE3F5D8E,8,8,8,8,7,12,7,12
