BAD, dac0_it, 30, 17.02, -28.84
BAD, dac0_it, 31, 17.26, -28.52
BAD, dac0_ib, 0, 9.61, -38.14
BAD, dac0_ib, 1, 9.75, -38.43
BAD, dac0_ib, 2, 9.83, -38.67
BAD, dac0_ib, 3, 9.96, -38.88
BAD, dac0_ib, 4, 10.08, -39.06
BAD, dac0_ib, 5, 10.23, -39.42
BAD, dac0_ib, 6, 10.32, -39.56
BAD, dac0_ib, 7, 10.45, -39.82
BAD, dac0_ib, 8, 10.56, -40.14
BAD, dac0_ib, 9, 10.69, -40.04
BAD, dac0_ib, 10, 10.84, -40.26
BAD, dac0_ib, 11, 10.93, -40.60
BAD, dac0_ib, 12, 11.04, -40.79
BAD, dac0_ib, 13, 11.17, -40.96
BAD, dac0_ib, 14, 11.24, -41.10
BAD, dac0_ib, 15, 11.35, -41.10
BAD, dac0_ib, 16, 11.44, -41.30
BAD, dac0_ib, 17, 11.54, -41.23
BAD, dac0_ib, 18, 11.63, -41.27
BAD, dac0_ib, 19, 11.72, -41.37
BAD, dac0_ib, 20, 11.84, -41.26
BAD, dac0_ib, 21, 11.96, -41.21
BAD, dac0_ib, 22, 12.05, -41.00
BAD, dac0_ib, 23, 12.16, -41.03
BAD, dac0_ib, 24, 12.25, -40.94
BAD, dac0_ib, 25, 12.34, -40.65
BAD, dac0_ib, 26, 12.43, -40.69
BAD, dac0_ib, 27, 12.53, -40.23
BAD, dac0_ib, 28, 12.64, -40.04
BAD, dac0_ib, 29, 12.74, -39.97
BAD, dac0_ib, 30, 12.83, -39.81
BAD, dac0_ib, 31, 12.92, -39.49
BAD, tmx_c, 0, 16.55, -30.09
BAD, tmx_c, 1, 20.82, -20.62
BAD, tmx_c, 2, 20.81, -20.64
BAD, tmx_c, 3, 19.87, -22.46
BAD, tmx_c, 4, 19.83, -22.53
BAD, tmx_c, 5, 15.35, -33.03
BAD, tmx_c, 6, 15.34, -32.95
BAD, tmx_c, 7, 11.73, -41.32
BAD, tmx_c, 8, 11.81, -41.34
BAD, tmx_c, 9, 9.16, -37.15
BAD, tmx_c, 10, 9.19, -37.19
BAD, tmx_c, 11, 7.07, -34.46
BAD, tmx_c, 12, 7.05, -34.57
BAD, tmx_c, 13, 5.36, -33.24
BAD, tmx_c, 14, 5.39, -33.09
BAD, tmx_c, 15, 3.96, -32.40
BAD, padrv_g, 0, -100, 0
BAD, padrv_g, 1, 11.75, -41.14
BAD, padrv_g, 2, 11.61, -41.20
BAD, padrv_g, 3, 17.79, -27.16
BAD, padrv_g, 4, -100, 0
BAD, padrv_g, 5, 11.74, -41.15
BAD, padrv_g, 6, 11.59, -41.17
BAD, padrv_g, 7, 17.80, -27.44
BAD, padrv_g, 8, -100, 0
BAD, padrv_g, 9, 11.72, -41.31
BAD, padrv_g, 10, 11.59, -41.23
BAD, padrv_g, 11, 17.78, -27.45
BAD, padrv_g, 12, -100, 0
BAD, padrv_g, 13, 11.73, -41.21
BAD, padrv_g, 14, 11.61, -41.34
BAD, padrv_g, 15, 17.81, -27.32
BAD, padrv_c, 0, 8.41, -32.44
BAD, padrv_c, 1, 10.99, -34.04
BAD, padrv_c, 2, 12.73, -39.70
BAD, padrv_c, 3, 11.75, -41.09
BAD, padrv_c, 4, 8.78, -36.33
BAD, padrv_c, 5, 6.39, -33.77
BAD, padrv_c, 6, 4.31, -32.35
BAD, padrv_c, 7, 2.62, -31.84
BAD, padrv_c, 8, 1.01, -31.29
BAD, padrv_c, 9, -0.15, -31.01
BAD, padrv_c, 10, -1.32, -30.94
BAD, padrv_c, 11, -2.23, -30.83
BAD, padrv_c, 12, -3.21, -30.85
BAD, padrv_c, 13, -100, 0
BAD, padrv_c, 14, -100, 0
BAD, padrv_c, 15, -100, 0
BAD, padrv_input_c, 0, 13.08, -39.48
BAD, padrv_input_c, 1, 12.87, -39.99
BAD, padrv_input_c, 2, 12.59, -40.48
BAD, padrv_input_c, 3, 12.47, -40.95
BAD, padrv_input_c, 4, 12.26, -41.14
BAD, padrv_input_c, 5, 12.06, -41.34
BAD, padrv_input_c, 6, 11.88, -41.29
BAD, padrv_input_c, 7, 11.75, -41.27
BAD, pa_input_c, 0, 12.22, -38.04
BAD, pa_input_c, 1, 12.18, -39.26
BAD, pa_input_c, 2, 12.12, -40.21
BAD, pa_input_c, 3, 12.04, -40.90
BAD, pa_input_c, 4, 12.01, -40.85
BAD, pa_input_c, 5, 11.96, -41.37
BAD, pa_input_c, 6, 11.84, -41.43
BAD, pa_input_c, 7, 11.74, -41.35
BAD, pa_g, 0, -100, 0
BAD, pa_g, 1, -100, 0
BAD, pa_g, 2, -100, 0
BAD, pa_g, 3, 0.85, -33.52
BAD, pa_g, 4, 0.74, -33.20
BAD, pa_g, 5, 4.37, -34.71
BAD, pa_g, 6, 4.38, -34.93
BAD, pa_g, 7, 6.92, -36.79
BAD, pa_g, 8, 6.93, -36.69
BAD, pa_g, 9, 8.92, -38.47
BAD, pa_g, 10, 8.90, -38.64
BAD, pa_g, 11, 10.47, -40.50
BAD, pa_g, 12, 10.45, -40.66
BAD, pa_g, 13, 11.78, -41.36
BAD, pa_g, 14, 11.78, -40.46
BAD, pa_g, 15, 12.94, -38.96
