ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
106,1856,65.37,10.80,12.74,12.03,18.79,0x80C03F51
106,1920,65.67,11.16,13.02,13.06,20.07,0x80C03F51
106,1984,65.95,11.49,13.32,14.10,21.48,0x80C03F51
106,2048,66.23,11.72,13.59,14.87,22.84,0x80C03F51
106,2112,66.49,11.95,13.86,15.68,24.31,0x80C03F51
106,2176,66.75,12.17,14.11,16.50,25.73,0x80C03F51
106,2240,67.00,12.47,14.33,17.64,27.07,0x80C03F51
106,2304,67.25,12.70,14.57,18.64,28.63,0x80C03F51
106,2368,67.49,12.95,14.82,19.71,30.32,0x80C03F51
106,2432,67.72,13.18,15.04,20.81,31.91,0x80C03F51
106,2496,67.94,13.41,15.23,21.92,33.32,0x80C03F51
106,2560,68.16,13.55,15.45,22.66,35.11,0x80C03F51
106,2624,68.38,13.78,15.66,23.88,36.83,0x80C03F51
106,2688,68.59,14.09,15.88,25.65,38.70,0x80C03F51
106,2752,68.79,14.31,16.13,26.98,41.00,0x80C03F51
106,2816,68.99,14.42,16.32,27.64,42.89,0x80C03F51
106,2880,69.19,14.66,16.52,29.27,44.89,0x80C03F51
106,2944,69.38,14.81,16.71,30.26,46.88,0x80C03F51
106,3008,69.57,14.97,16.90,31.41,49.02,0x80C03F51
106,3072,69.75,15.15,17.09,32.70,51.15,0x80C03F51
106,3136,69.93,15.34,17.27,34.17,53.33,0x80C03F51
106,3200,70.10,15.54,17.44,35.83,55.49,0x80C03F51
106,3264,70.28,15.69,17.62,37.05,57.83,0x80C03F51
106,3328,70.44,15.84,17.79,38.34,60.08,0x80C03F51
106,3392,70.61,16.00,17.96,39.82,62.55,0x80C03F51
106,3456,70.77,16.17,18.11,41.37,64.66,0x80C03F51
106,3520,70.93,16.35,18.27,43.10,67.18,0x80C03F51
106,3584,71.09,16.48,18.43,44.51,69.71,0x80C03F51
106,3648,71.24,16.68,18.59,46.61,72.30,0x80C03F51
106,3712,71.39,16.82,18.74,48.05,74.79,0x80C03F51
106,3776,71.54,16.96,18.89,49.71,77.38,0x80C03F51
106,3840,71.69,17.12,19.05,51.48,80.35,0x80C03F51
106,3904,71.83,17.21,19.19,52.66,83.02,0x80C03F51
106,3968,71.97,17.42,19.33,55.17,85.74,0x80C03F51
106,4032,72.11,17.53,19.48,56.57,88.67,0x80C03F51
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
122,640,56.12,3.38,3.74,2.18,2.37,0x80C03F51
122,704,56.95,3.93,4.57,2.47,2.87,0x80C03F51
122,768,57.71,3.73,5.33,2.36,3.41,0x80C03F51
122,832,58.40,4.81,6.01,3.03,3.99,0x80C03F51
122,896,59.05,5.12,6.64,3.25,4.62,0x80C03F51
122,960,59.65,5.49,7.21,3.54,5.26,0x80C03F51
122,1024,60.21,6.16,7.76,4.13,5.97,0x80C03F51
122,1088,60.73,6.67,8.32,4.65,6.79,0x80C03F51
122,1152,61.23,7.49,8.80,5.61,7.59,0x80C03F51
122,1216,61.70,7.90,9.26,6.16,8.44,0x80C03F51
122,1280,62.14,8.27,9.71,6.72,9.34,0x80C03F51
122,1344,62.57,8.62,10.10,7.27,10.24,0x80C03F51
122,1408,62.97,8.97,10.50,7.90,11.22,0x80C03F51
122,1472,63.36,9.21,10.86,8.34,12.18,0x80C03F51
122,1536,63.73,9.51,11.22,8.93,13.26,0x80C03F51
122,1600,64.08,9.90,11.57,9.78,14.36,0x80C03F51
122,1664,64.42,10.17,11.96,10.41,15.70,0x80C03F51
122,1728,64.75,10.60,12.27,11.48,16.88,0x80C03F51
122,1792,65.07,10.80,12.59,12.03,18.14,0x80C03F51
122,1856,65.37,11.12,12.89,12.95,19.47,0x80C03F51
122,1920,65.67,11.36,13.19,13.69,20.83,0x80C03F51
122,1984,65.95,11.64,13.47,14.58,22.23,0x80C03F51
122,2048,66.23,11.98,13.73,15.76,23.62,0x80C03F51
122,2112,66.49,12.19,13.96,16.57,24.88,0x80C03F51
122,2176,66.75,12.40,14.23,17.38,26.46,0x80C03F51
122,2240,67.00,12.76,14.47,18.89,28.02,0x80C03F51
122,2304,67.25,12.85,14.72,19.26,29.65,0x80C03F51
122,2368,67.49,13.21,14.95,20.96,31.26,0x80C03F51
122,2432,67.72,13.42,15.19,21.99,33.01,0x80C03F51
122,2496,67.94,13.65,15.42,23.18,34.86,0x80C03F51
122,2560,68.16,13.89,15.64,24.50,36.67,0x80C03F51
122,2624,68.38,14.05,15.87,25.43,38.64,0x80C03F51
122,2688,68.59,14.26,16.08,26.68,40.58,0x80C03F51
122,2752,68.79,14.48,16.30,28.08,42.64,0x80C03F51
122,2816,68.99,14.68,16.49,29.38,44.58,0x80C03F51
122,2880,69.19,14.84,16.69,30.45,46.68,0x80C03F51
122,2944,69.38,14.99,16.88,31.52,48.74,0x80C03F51
122,3008,69.57,15.20,17.06,33.10,50.85,0x80C03F51
122,3072,69.75,15.39,17.25,34.58,53.13,0x80C03F51
122,3136,69.93,15.60,17.43,36.28,55.32,0x80C03F51
122,3200,70.10,15.72,17.60,37.35,57.59,0x80C03F51
122,3264,70.28,15.94,17.79,39.23,60.14,0x80C03F51
122,3328,70.44,16.07,17.96,40.48,62.56,0x80C03F51
122,3392,70.61,16.20,18.13,41.66,64.97,0x80C03F51
122,3456,70.77,16.44,18.29,44.03,67.51,0x80C03F51
122,3520,70.93,16.62,18.45,45.91,70.04,0x80C03F51
122,3584,71.09,16.74,18.61,47.20,72.59,0x80C03F51
122,3648,71.24,16.87,18.77,48.60,75.34,0x80C03F51
122,3712,71.39,17.01,18.91,50.23,77.89,0x80C03F51
122,3776,71.54,17.17,19.07,52.11,80.66,0x80C03F51
122,3840,71.69,17.32,19.20,53.92,83.27,0x80C03F51
122,3904,71.83,17.45,19.35,55.65,86.05,0x80C03F51
122,3968,71.97,17.59,19.48,57.46,88.74,0x80C03F51
122,4032,72.11,17.71,19.63,59.08,91.82,0x80C03F51
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
138,640,56.12,2.91,4.33,1.96,2.71,0x80C03F51
138,704,56.95,4.12,5.17,2.58,3.28,0x80C03F51
138,768,57.71,4.91,5.91,3.10,3.90,0x80C03F51
138,832,58.40,5.76,6.60,3.76,4.57,0x80C03F51
138,896,59.05,5.45,7.29,3.51,5.36,0x80C03F51
138,960,59.65,6.43,7.88,4.39,6.14,0x80C03F51
138,1024,60.21,6.94,8.33,4.95,6.80,0x80C03F51
138,1088,60.73,7.77,8.85,5.98,7.67,0x80C03F51
138,1152,61.23,7.95,9.41,6.24,8.74,0x80C03F51
138,1216,61.70,8.46,9.87,7.01,9.71,0x80C03F51
138,1280,62.14,8.77,10.32,7.53,10.77,0x80C03F51
138,1344,62.57,9.23,10.74,8.38,11.84,0x80C03F51
138,1408,62.97,9.49,11.18,8.89,13.13,0x80C03F51
138,1472,63.36,9.87,11.57,9.71,14.34,0x80C03F51
138,1536,63.73,10.25,11.93,10.59,15.59,0x80C03F51
138,1600,64.08,10.54,12.19,11.33,16.57,0x80C03F51
138,1664,64.42,10.95,12.53,12.44,17.92,0x80C03F51
138,1728,64.75,11.14,12.85,12.99,19.28,0x80C03F51
138,1792,65.07,11.38,13.23,13.73,21.04,0x80C03F51
138,1856,65.37,11.69,13.53,14.76,22.55,0x80C03F51
138,1920,65.67,12.00,13.82,15.83,24.10,0x80C03F51
138,1984,65.95,12.36,14.18,17.23,26.21,0x80C03F51
138,2048,66.23,12.58,14.46,18.12,27.93,0x80C03F51
138,2112,66.49,12.70,14.72,18.64,29.64,0x80C03F51
138,2176,66.75,12.99,14.98,19.93,31.47,0x80C03F51
138,2240,67.00,13.27,15.24,21.26,33.45,0x80C03F51
138,2304,67.25,13.53,15.50,22.55,35.44,0x80C03F51
138,2368,67.49,13.68,15.74,23.36,37.46,0x80C03F51
138,2432,67.72,13.98,15.96,24.98,39.44,0x80C03F51
138,2496,67.94,14.26,16.20,26.64,41.71,0x80C03F51
138,2560,68.16,14.37,16.41,27.38,43.80,0x80C03F51
138,2624,68.38,14.64,16.65,29.12,46.19,0x80C03F51
138,2688,68.59,14.90,16.86,30.93,48.50,0x80C03F51
138,2752,68.79,15.02,17.05,31.74,50.75,0x80C03F51
138,2816,68.99,15.27,17.27,33.62,53.33,0x80C03F51
138,2880,69.19,15.43,17.47,34.91,55.82,0x80C03F51
138,2944,69.38,15.54,17.66,35.80,58.36,0x80C03F51
138,3008,69.57,15.82,17.85,38.16,61.01,0x80C03F51
138,3072,69.75,15.96,18.04,39.49,63.70,0x80C03F51
138,3136,69.93,16.17,18.21,41.41,66.16,0x80C03F51
138,3200,70.10,16.34,18.39,43.03,69.08,0x80C03F51
138,3264,70.28,16.46,18.56,44.21,71.80,0x80C03F51
138,3328,70.44,16.65,18.73,46.28,74.63,0x80C03F51
138,3392,70.61,16.80,18.89,47.83,77.52,0x80C03F51
138,3456,70.77,16.95,19.05,49.56,80.42,0x80C03F51
138,3520,70.93,17.13,19.24,51.67,84.01,0x80C03F51
138,3584,71.09,17.23,19.39,52.88,86.88,0x80C03F51
138,3648,71.24,17.39,19.54,54.80,90.05,0x80C03F51
138,3712,71.39,17.58,19.71,57.24,93.59,0x80C03F51
138,3776,71.54,17.74,19.86,59.49,96.91,0x80C03F51
138,3840,71.69,17.86,20.00,61.04,99.95,0x80C03F51
138,3904,71.83,18.01,20.14,63.29,103.35,0x80C03F51
138,3968,71.97,18.11,20.28,64.77,106.55,0x80C03F51
138,4032,72.11,18.29,20.41,67.39,109.88,0x80C03F51
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
155,640,56.12,3.07,4.49,2.03,2.81,0x80C03F51
155,704,56.95,3.45,5.32,2.21,3.41,0x80C03F51
