ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, reg_value
13,1088,60.73,15.91,15.50,38.97,35.47,0x4BC0FFD0
13,1152,61.23,16.45,16.00,44.17,39.82,0x4BC0FFD0
13,1216,61.70,16.90,16.45,48.97,44.13,0x4BC0FFD0
13,1280,62.14,17.31,16.91,53.88,49.05,0x4BC0FFD0
13,1344,62.57,17.74,17.33,59.42,54.13,0x4BC0FFD0
13,1408,62.97,18.13,17.74,65.06,59.37,0x4BC0FFD0
13,1472,63.36,18.45,18.12,69.97,64.80,0x4BC0FFD0
13,1536,63.73,18.82,18.48,76.13,70.51,0x4BC0FFD0
13,1600,64.08,19.15,18.84,82.26,76.64,0x4BC0FFD0
13,1664,64.42,19.43,19.19,87.72,82.98,0x4BC0FFD0
13,1728,64.75,19.75,19.52,94.47,89.52,0x4BC0FFD0
13,1792,65.07,20.05,19.83,101.08,96.27,0x4BC0FFD0
13,1856,65.37,20.34,20.14,108.06,103.24,0x4BC0FFD0
13,1920,65.67,20.58,20.43,114.29,110.50,0x4BC0FFD0
13,1984,65.95,20.84,20.68,121.45,116.99,0x4BC0FFD0
13,2048,66.23,21.06,20.96,127.69,124.68,0x4BC0FFD0
13,2112,66.49,21.28,21.21,134.33,132.13,0x4BC0FFD0
13,2176,66.75,21.49,21.45,141.08,139.61,0x4BC0FFD0
13,2240,67.00,21.72,21.69,148.58,147.50,0x4BC0FFD0
13,2304,67.25,21.90,21.91,154.81,155.24,0x4BC0FFD0
13,2368,67.49,22.10,22.15,162.19,163.90,0x4BC0FFD0
13,2432,67.72,22.25,22.36,167.95,172.14,0x4BC0FFD0
13,2496,67.94,22.41,22.56,174.19,180.27,0x4BC0FFD0
13,2560,68.16,22.60,22.75,182.09,188.15,0x4BC0FFD0
13,2624,68.38,22.75,22.93,188.51,196.26,0x4BC0FFD0
13,2688,68.59,22.79,23.07,190.13,202.94,0x4BC0FFD0
13,2752,68.79,22.92,23.25,196.07,211.49,0x4BC0FFD0
13,2816,68.99,23.06,23.41,202.09,219.46,0x4BC0FFD0
13,2880,69.19,23.22,23.56,210.06,227.10,0x4BC0FFD0
13,2944,69.38,23.33,23.71,215.19,234.80,0x4BC0FFD0
13,3008,69.57,23.45,23.84,221.13,242.33,0x4BC0FFD0
13,3072,69.75,23.54,23.98,225.82,249.97,0x4BC0FFD0
13,3136,69.93,23.63,24.10,230.87,257.25,0x4BC0FFD0
13,3200,70.10,23.75,24.22,237.37,264.31,0x4BC0FFD0
13,3264,70.28,23.84,24.33,242.17,270.89,0x4BC0FFD0
13,3328,70.44,23.93,24.43,247.41,277.55,0x4BC0FFD0
13,3392,70.61,24.01,24.53,252.02,283.93,0x4BC0FFD0
13,3456,70.77,24.10,24.63,256.78,290.35,0x4BC0FFD0
13,3520,70.93,24.17,24.71,261.17,295.75,0x4BC0FFD0
13,3584,71.09,24.24,24.80,265.60,301.83,0x4BC0FFD0
13,3648,71.24,24.30,24.88,269.14,307.27,0x4BC0FFD0
13,3712,71.39,24.36,24.96,273.13,313.07,0x4BC0FFD0
13,3776,71.54,24.43,25.04,277.26,319.16,0x4BC0FFD0
13,3840,71.69,24.48,25.11,280.47,324.26,0x4BC0FFD0
13,3904,71.83,24.54,25.17,284.38,329.15,0x4BC0FFD0
13,3968,71.97,24.58,25.24,287.04,334.17,0x4BC0FFD0
13,4032,72.11,24.64,25.30,291.21,338.54,0x4BC0FFD0
