ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
13,2880,69.19,21.77,23.79,150.24,239.57,151.34,21.80
13,2944,69.38,21.88,23.93,154.15,246.94,155.93,21.93
13,3008,69.57,21.98,24.06,157.62,254.40,160.02,22.04
13,3072,69.75,22.12,24.19,162.86,262.27,166.26,22.21
13,3136,69.93,22.23,24.30,167.03,269.33,171.26,22.34
13,3200,70.10,22.32,24.42,170.46,276.47,175.40,22.44
13,3264,70.28,22.38,24.52,173.12,283.26,178.63,22.52
13,3328,70.44,22.50,24.62,177.77,289.76,184.31,22.66
13,3392,70.61,22.55,24.73,180.09,296.85,187.17,22.72
13,3456,70.77,22.65,24.82,183.97,303.36,191.96,22.83
13,3520,70.93,22.73,24.91,187.66,309.50,196.55,22.93
13,3584,71.09,22.80,25.01,190.54,316.77,200.15,23.01
13,3648,71.24,22.89,25.09,194.52,322.77,205.17,23.12
13,3712,71.39,22.94,25.16,196.99,328.23,208.30,23.19
13,3776,71.54,23.01,25.24,200.09,333.97,212.24,23.27
13,3840,71.69,23.08,25.30,203.45,338.80,216.53,23.36
13,3904,71.83,23.13,25.36,205.70,343.63,219.43,23.41
13,3968,71.97,23.19,25.42,208.25,348.46,222.71,23.48
13,4032,72.11,23.24,25.48,210.83,353.13,226.05,23.54
