ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,,,
7,3136,69.93,24.19,26.6,262.17,457.01,295.49,24.71,,,69.93,24.71,26.6
7,3200,70.1,24.22,26.63,264.42,459.9,298.67,24.75,,,70.1,24.75,26.63
7,3264,70.28,24.24,26.65,265.23,462.54,299.82,24.77,,,70.28,24.77,26.65
7,3328,70.44,24.27,26.68,267.3,465.1,302.74,24.81,,,70.44,24.81,26.68
7,3392,70.61,24.28,26.7,268.22,467.41,304.05,24.83,,,70.61,24.83,26.7
7,3456,70.77,24.29,26.72,268.74,469.47,304.79,24.84,,,70.77,24.84,26.72
7,3520,70.93,24.3,26.74,268.92,471.85,305.05,24.84,,,70.93,24.84,26.74
7,3584,71.09,24.33,26.76,271.1,473.91,308.15,24.89,,,71.09,24.89,26.76
7,3648,71.24,24.32,26.77,270.18,475.73,306.84,24.87,,,71.24,24.87,26.77
7,3712,71.39,24.35,26.79,272.02,477.72,309.47,24.91,,,71.39,24.91,26.79
7,3776,71.54,24.32,26.81,270.29,479.29,306.99,24.87,,,71.54,24.87,26.81
7,3840,71.69,24.34,26.82,271.39,480.81,308.57,24.89,,,71.69,24.89,26.82
7,3904,71.83,24.35,26.83,272.24,482.42,309.78,24.91,,,71.83,24.91,26.83
7,3968,71.97,24.35,26.84,272.02,483.6,309.47,24.91,,,71.97,24.91,26.84
7,4032,72.11,24.38,26.86,274.23,484.77,312.64,24.95,,,72.11,24.95,26.86
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,, pwr_dig_dbm, pwr_msadc_dbm_cal, pwr_cmp180_dbm
13,640,56.12,9.75,11.07,9.45,12.8,8.09,9.08,,,56.12,9.08,11.07
13,704,56.95,10.54,11.9,11.33,15.47,9.73,9.88,,,56.95,9.88,11.9
13,768,57.71,11.27,12.67,13.4,18.49,11.53,10.62,,,57.71,10.62,12.67
13,832,58.4,12.04,13.38,15.98,21.76,13.8,11.4,,,58.4,11.4,13.38
13,896,59.05,12.74,14.01,18.78,25.2,16.28,12.12,,,59.05,12.12,14.01
13,960,59.65,13.23,14.63,21.04,29.01,18.28,12.62,,,59.65,12.62,14.63
13,1024,60.21,13.87,15.25,24.36,33.51,21.26,13.27,,,60.21,13.27,15.25
13,1088,60.73,14.39,15.79,27.46,37.94,24.05,13.81,,,60.73,13.81,15.79
13,1152,61.23,14.87,16.27,30.7,42.39,27,14.31,,,61.23,14.31,16.27
13,1216,61.7,15.31,16.77,33.95,47.54,29.98,14.77,,,61.7,14.77,16.77
13,1280,62.14,15.74,17.2,37.53,52.48,33.28,15.22,,,62.14,15.22,17.2
13,1344,62.57,16.17,17.64,41.41,58.06,36.89,15.67,,,62.57,15.67,17.64
13,1408,62.97,16.62,18.06,45.95,64.02,41.16,16.14,,,62.97,16.14,18.06
13,1472,63.36,16.92,18.45,49.16,69.99,44.2,16.45,,,63.36,16.45,18.45
13,1536,63.73,17.32,18.82,53.99,76.26,48.83,16.89,,,63.73,16.89,18.82
13,1600,64.08,17.65,19.18,58.16,82.83,52.86,17.23,,,64.08,17.23,19.18
13,1664,64.42,17.92,19.51,61.93,89.4,56.53,17.52,,,64.42,17.52,19.51
13,1728,64.75,18.26,19.84,67.02,96.47,61.54,17.89,,,64.75,17.89,19.84
13,1792,65.07,18.56,20.16,71.78,103.85,66.28,18.21,,,65.07,18.21,20.16
13,1856,65.37,18.83,20.47,76.43,111.32,70.95,18.51,,,65.37,18.51,20.47
13,1920,65.67,19.13,20.75,81.93,118.87,76.54,18.84,,,65.67,18.84,20.75
13,1984,65.95,19.37,21.03,86.47,126.66,81.2,19.1,,,65.95,19.1,21.03
13,2048,66.23,19.59,21.29,90.97,134.53,85.87,19.34,,,66.23,19.34,21.29
13,2112,66.49,19.84,21.56,96.32,143.25,91.47,19.61,,,66.49,19.61,21.56
13,2176,66.75,20.1,21.8,102.34,151.27,97.84,19.91,,,66.75,19.91,21.8
13,2240,67,20.27,22.03,106.39,159.72,102.19,20.09,,,67,20.09,22.03
13,2304,67.25,20.49,22.25,112,167.85,108.25,20.34,,,67.25,20.34,22.25
13,2368,67.49,20.65,22.47,116.03,176.68,112.63,20.52,,,67.49,20.52,22.47
13,2432,67.72,20.84,22.68,121.45,185.34,118.6,20.74,,,67.72,20.74,22.68
13,2496,67.94,20.97,22.85,125.07,192.75,122.62,20.89,,,67.94,20.89,22.85
13,2560,68.16,21.03,23.02,126.88,200.3,124.64,20.96,,,68.16,20.96,23.02
13,2624,68.38,21.21,23.2,132.08,208.77,130.49,21.16,,,68.38,21.16,23.2
13,2688,68.59,21.37,23.37,137.21,217.09,136.31,21.35,,,68.59,21.35,23.37
13,2752,68.79,21.5,23.52,141.31,224.94,140.99,21.49,,,68.79,21.49,23.52
13,2816,68.99,21.64,23.67,145.73,232.83,146.1,21.65,,,68.99,21.65,23.67
13,2880,69.19,21.74,23.81,149.35,240.6,150.31,21.77,,,69.19,21.77,23.81
13,2944,69.38,21.9,23.95,154.74,248.43,156.62,21.95,,,69.38,21.95,23.95
13,3008,69.57,21.99,24.08,158.21,255.96,160.72,22.06,,,69.57,22.06,24.08
13,3072,69.75,22.11,24.2,162.6,262.98,165.95,22.2,,,69.75,22.2,24.2
13,3136,69.93,22.22,24.32,166.59,270.3,170.72,22.32,,,69.93,22.32,24.32
13,3200,70.1,22.28,24.43,169.13,277.12,173.8,22.4,,,70.1,22.4,24.43
13,3264,70.28,22.39,24.53,173.41,283.81,178.99,22.53,,,70.28,22.53,24.53
13,3328,70.44,22.49,24.63,177.29,290.42,183.72,22.64,,,70.44,22.64,24.63
13,3392,70.61,22.57,24.73,180.57,296.93,187.76,22.74,,,70.61,22.74,24.73
13,3456,70.77,22.62,24.82,183.01,303.49,190.77,22.81,,,70.77,22.81,24.82
13,3520,70.93,22.72,24.91,187.1,309.7,195.86,22.92,,,70.93,22.92,24.91
13,3584,71.09,22.8,25.01,190.65,317.02,200.29,23.02,,,71.09,23.02,25.01
13,3648,71.24,22.85,25.09,192.71,322.7,202.89,23.07,,,71.24,23.07,25.09
13,3712,71.39,22.9,25.16,194.89,328.46,205.64,23.13,,,71.39,23.13,25.16
13,3776,71.54,23,25.24,199.58,333.86,211.58,23.25,,,71.54,23.25,25.24
13,3840,71.69,23.06,25.3,202.49,338.93,215.3,23.33,,,71.69,23.33,25.3
13,3904,71.83,23.14,25.37,205.93,344.3,219.71,23.42,,,71.83,23.42,25.37
13,3968,71.97,23.18,25.43,207.92,349.33,222.28,23.47,,,71.97,23.47,25.43
13,4032,72.11,23.25,25.49,211.24,353.93,226.58,23.55,,,72.11,23.55,25.49
