Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case,-40¡æ,,,,,20¡æ,,,,,70¡æ,,,
usb_avss,IO,USB,pmu_muxadc_bit_cpus<3:0>,4'b1100,test_enable_usb,1'b1,io_test_bit<3:0>,4'b1010,USB_ON,2.17734679,2.324963521,2.103538424,2.324963521,,-76.02261673,2.878526265,3.099951362,3.099951362,,3.468993191,3.505897374,3.690418288,3.690418288
pcie_pll_dvdd,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b001,PCIE_ON,11.10815905,-300.9536114,11.14506323,11.14506323,,12.0676678,-77.12974222,12.17838035,12.17838035,,22.06870136,22.17941391,22.06870136,22.17941391
pcie_pll_avdd_vco,IO,PCIE,pmu_muxadc_bit_cpus<3:0>,4'b0000,test_enable_pcie_pll,1'b1,io_test_bit<3:0>,4'b010,PCIE_ON,11.03435068,11.25577578,11.2188716,11.25577578,,12.36290126,12.25218872,12.2890929,12.36290126,,22.03179718,22.10560554,117.5767267,117.5767267
xtal_dvdd_clk_buf,CM,XTAL,pmu_muxadc_bit_cpus<3:0>,4'b0000,cm_test_enable_xtal,1'b1,cm_test_bit<2:0>,3'b111,WF_PLL_ON,765.0606153,765.0975195,764.8760944,765.0975195,,744.2097519,744.3204645,744.3573687,744.3573687,,724.4660141,724.4291099,724.2076848,724.4660141
lna_5g_reg_out,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_hb_ON,943.5661479,943.2340102,943.6399562,943.6399562,,906.1453064,906.1453064,906.0714981,906.1453064,,870.7172909,870.8649076,870.5696741,870.8649076
lna_5g_vbn,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_hb_ON,-298.7762646,498.021948,498.3540856,498.3540856,,479.459144,479.6805691,479.8281858,479.8281858,,120.1969236,465.3248419,465.5093628,465.5093628
lna_5g_vbcg,WF,LNA_5G,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_lna_5g_preamp,1'b1,wf_test_bit<2:0>,3'b011,WF_RX_hb_ON,775.910445,776.1687743,775.910445,776.1687743,,708.7817364,708.707928,708.4865029,708.7817364,,648.4433974,648.2957806,648.5172057,648.5172057
adc_dvdd,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b000,WF_RX_ON,943.8613813,944.9685068,945.005411,945.005411,,950.0981882,950.1350924,949.7291464,950.1350924,,944.2673273,943.9351897,943.8982855,944.2673273
adc_vref,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b001,WF_RX_ON,-299.1822106,1012.392449,1012.57697,1012.57697,,-75.21072471,928.1401994,928.3247203,928.3247203,,120.0493069,850.5307028,850.161661,850.5307028
adc_vcm,WF,ADC,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_adc,1'b1,wf_test_bit<2:0>,3'b010,WF_RX_ON,734.9098979,-298.9976897,735.1682271,735.1682271,,721.0708293,721.1446376,721.1446376,721.1446376,,704.2056177,120.3445404,703.9472884,704.2056177
