Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_bits_regname,test_bits_regvalue,test_case
tia_output_in,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b110,WF_RX_ON
tia_output_ip,WF,TIA,pmu_muxadc_bit_cpus<3:0>,4'b0000,wf_test_enable_tia,2'b10,wf_test_bit<2:0>,3'b111,WF_RX_ON
lna_bt_vbn,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON
lna_bt_vbcg,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON
lna_bt_dvdd,BT,LNA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_lna,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON
rmx_bt_reg,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON
rmx_bt_lobias,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON
rmx_bt_avdd_sw,BT,RMX_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_rmx,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON
tia_bt_output_qn,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b000,BT_RX_ON
tia_bt_output_qp,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b001,BT_RX_ON
tia_bt_output_ip,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b010,BT_RX_ON
tia_bt_output_in,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b011,BT_RX_ON
tia_bt_input_qn,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b100,BT_RX_ON
tia_bt_input_qp,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b101,BT_RX_ON
tia_bt_input_ip,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b110,BT_RX_ON
tia_bt_input_in,BT,TIA_BT,pmu_muxadc_bit_cpus<3:0>,4'b0000,bt_test_enable_tia,1'b1,bt_test_bit<2:0>,3'b111,BT_RX_ON
