Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
122,5 7,2 2,20000,15,14.11,-39.28,0xD33F5C6F
122,5 7,2 2,20000,16,15.06,-38.51,0xD33F5C7C
122,5 7,2 2,20000,17,16.00,-36.95,0xD33F5C8B
122,5 7,2 2,20000,18,16.57,-35.60,0xD43F5D7C
122,5 7,2 2,20000,19,17.49,-32.60,0xD43F5D8B
122,5 7,2 2,20000,20,18.41,-28.37,0xD43F5D9C
122,5 7,2 2,20000,21,19.24,-24.06,0xD43F5DAF
122,5 7,2 2,20000,22,19.99,-20.70,0xD43F5DC4
122,5 7,2 2,20000,23,20.35,-18.42,0xD83F5F9E
122,5 0,2 2,20000,10,8.91,-40.28,0xC23F5899
122,5 0,2 2,20000,11,9.91,-39.86,0xC23F58AB
122,5 0,2 2,20000,12,10.88,-39.63,0xC23F58C0
122,5 0,2 2,20000,13,12.05,-38.50,0xD33F5C58
122,5 0,2 2,20000,14,13.04,-38.25,0xD33F5C63
122,5 0,2 2,20000,15,14.01,-38.16,0xD33F5C6F
122,5 0,2 2,20000,16,14.94,-37.53,0xD33F5C7C
122,5 0,2 2,20000,17,15.89,-36.23,0xD33F5C8B
122,5 0,2 2,20000,18,16.44,-35.18,0xD43F5D7C
122,5 0,2 2,20000,19,17.36,-32.20,0xD43F5D8B
122,5 0,2 2,20000,20,18.26,-28.39,0xD43F5D9C
122,5 0,2 2,20000,21,19.09,-24.17,0xD43F5DAF
122,5 0,2 2,20000,22,19.82,-20.55,0xD43F5DC4
122,5 0,2 2,20000,23,20.17,-16.57,0xD83F5F9E
138,5 11,2 2,20000,10,9.50,-40.50,0xC23F5897
138,5 11,2 2,20000,11,10.59,-39.97,0xC23F58AA
138,5 11,2 2,20000,12,11.58,-39.38,0xC23F58BE
138,5 11,2 2,20000,13,12.71,-39.30,0xD33F5C58
138,5 11,2 2,20000,14,13.71,-39.52,0xD33F5C63
138,5 11,2 2,20000,15,14.69,-38.98,0xD33F5C6F
138,5 11,2 2,20000,16,15.62,-37.96,0xD33F5C7C
138,5 11,2 2,20000,17,16.58,-35.69,0xD33F5C8B
138,5 11,2 2,20000,18,17.10,-34.76,0xD43F5D7C
138,5 11,2 2,20000,19,18.01,-31.82,0xD43F5D8B
138,5 11,2 2,20000,20,18.90,-30.22,0xD43F5D9C
138,5 11,2 2,20000,21,19.72,-29.79,0xD43F5DAF
138,5 11,2 2,20000,22,20.45,-29.39,0xD43F5DC4
138,5 11,2 2,20000,23,20.79,-28.20,0xD83F5F9C
138,5 7,2 2,20000,10,9.37,-40.60,0xC23F5897
138,5 7,2 2,20000,11,10.39,-40.76,0xC23F58A9
138,5 7,2 2,20000,12,11.42,-40.08,0xC23F58BE
138,5 7,2 2,20000,13,12.57,-39.05,0xD33F5C58
138,5 7,2 2,20000,14,13.55,-39.00,0xD33F5C63
138,5 7,2 2,20000,15,14.52,-38.77,0xD33F5C6F
138,5 7,2 2,20000,16,15.45,-37.98,0xD33F5C7C
138,5 7,2 2,20000,17,16.41,-36.19,0xD33F5C8B
138,5 7,2 2,20000,18,16.89,-34.79,0xD43F5D7C
138,5 7,2 2,20000,19,17.82,-31.50,0xD43F5D8B
138,5 7,2 2,20000,20,18.72,-27.43,0xD43F5D9C
138,5 7,2 2,20000,21,19.54,-23.11,0xD43F5DAF
138,5 7,2 2,20000,22,20.26,-20.02,0xD43F5DC4
138,5 7,2 2,20000,23,20.57,-18.28,0xD83F5F9B
138,5 0,2 2,20000,10,9.31,-39.92,0xC23F5897
138,5 0,2 2,20000,11,10.32,-39.77,0xC23F58A9
138,5 0,2 2,20000,12,11.35,-39.33,0xC23F58BE
138,5 0,2 2,20000,13,12.47,-38.40,0xD33F5C58
138,5 0,2 2,20000,14,13.46,-38.51,0xD33F5C63
138,5 0,2 2,20000,15,14.42,-38.35,0xD33F5C6F
138,5 0,2 2,20000,16,15.35,-37.47,0xD33F5C7C
138,5 0,2 2,20000,17,16.31,-35.72,0xD33F5C8B
138,5 0,2 2,20000,18,16.78,-34.45,0xD43F5D7C
138,5 0,2 2,20000,19,17.70,-31.48,0xD43F5D8B
138,5 0,2 2,20000,20,18.58,-27.44,0xD43F5D9C
138,5 0,2 2,20000,21,19.39,-23.20,0xD43F5DAF
138,5 0,2 2,20000,22,20.09,-19.77,0xD43F5DC4
138,5 0,2 2,20000,23,20.39,-16.14,0xD83F5F9C
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
Channel, Rate, BandWidth, Length, SetPwr, MsPwrAvg, MsEvmAvg
7,5 11,1 1,20000,10,10.21,-41.61,0xCA3F4768
7,5 11,1 1,20000,11,11.14,-41.84,0xCA3F4774
7,5 11,1 1,20000,12,12.15,-41.48,0xCA3F4784
7,5 11,1 1,20000,13,13.11,-40.10,0xCA3F4794
7,5 11,1 1,20000,14,13.98,-39.07,0xCA3F47A4
