ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
122,3456,70.77,22.59,24.66,181.72,292.68,280.51,24.48
122,3520,70.93,22.76,24.83,188.84,304.00,291.53,24.65
122,3584,71.09,22.90,24.99,195.15,315.34,301.30,24.79
122,3648,71.24,23.00,25.12,199.43,324.88,307.92,24.88
122,3712,71.39,23.11,25.24,204.67,334.41,316.03,25.00
122,3776,71.54,23.31,25.45,214.15,350.92,330.70,25.19
122,3840,71.69,23.33,25.49,215.08,354.08,332.13,25.21
122,3904,71.83,23.36,25.51,216.85,355.99,334.87,25.25
122,3968,71.97,23.37,25.53,217.29,357.49,335.55,25.26
122,4032,72.11,23.36,25.53,216.89,357.17,334.92,25.25
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
138,640,56.12,9.58,11.55,9.08,14.28,13.44,11.29
138,704,56.95,10.40,12.29,10.96,16.92,16.36,12.14
138,768,57.71,11.09,13.07,12.84,20.29,19.27,12.85
138,832,58.40,11.76,13.76,14.98,23.76,22.58,13.54
138,896,59.05,12.43,14.42,17.49,27.66,26.46,14.23
138,960,59.65,12.99,15.01,19.93,31.67,30.23,14.80
138,1024,60.21,13.62,15.55,22.99,35.86,34.97,15.44
138,1088,60.73,14.14,16.05,25.94,40.23,39.53,15.97
138,1152,61.23,14.60,16.53,28.86,44.93,44.04,16.44
138,1216,61.70,15.04,16.97,31.89,49.82,48.73,16.88
138,1280,62.14,15.46,17.41,35.13,55.07,53.75,17.30
138,1344,62.57,15.83,17.81,38.31,60.43,58.66,17.68
138,1408,62.97,16.26,18.20,42.22,66.11,64.71,18.11
138,1472,63.36,16.65,18.58,46.20,72.09,70.88,18.51
138,1536,63.73,17.00,18.95,50.15,78.55,76.99,18.86
138,1600,64.08,17.38,19.36,54.73,86.33,84.07,19.25
138,1664,64.42,17.69,19.70,58.75,93.36,90.29,19.56
138,1728,64.75,18.00,20.00,63.07,100.04,96.97,19.87
138,1792,65.07,18.27,20.30,67.17,107.09,103.31,20.14
138,1856,65.37,18.56,20.58,71.85,114.40,110.56,20.44
138,1920,65.67,18.82,20.85,76.24,121.67,117.35,20.69
138,1984,65.95,19.04,20.97,80.16,125.08,123.40,20.91
138,2048,66.23,19.27,21.22,84.62,132.53,130.31,21.15
138,2112,66.49,19.51,21.46,89.38,140.04,137.67,21.39
138,2176,66.75,19.74,21.70,94.29,147.83,145.27,21.62
138,2240,67.00,19.96,21.93,99.16,155.79,152.80,21.84
138,2304,67.25,20.18,22.18,104.22,165.28,160.62,22.06
138,2368,67.49,20.36,22.40,108.61,173.70,167.42,22.24
138,2432,67.72,20.57,22.60,113.92,182.09,175.64,22.45
138,2496,67.94,20.75,22.80,118.83,190.60,183.23,22.63
138,2560,68.16,20.94,22.99,124.11,198.94,191.40,22.82
138,2624,68.38,21.06,23.14,127.50,205.93,196.65,22.94
138,2688,68.59,21.20,23.30,131.86,213.68,203.39,23.08
138,2752,68.79,21.40,23.49,138.06,223.32,212.98,23.28
138,2816,68.99,21.57,23.67,143.48,232.56,221.37,23.45
138,2880,69.19,21.73,23.83,148.83,241.73,229.65,23.61
138,2944,69.38,21.87,23.99,153.78,250.42,237.30,23.75
138,3008,69.57,21.96,24.07,157.06,255.30,242.38,23.84
138,3072,69.75,22.13,24.25,163.45,266.22,252.26,24.02
138,3136,69.93,22.29,24.42,169.43,276.90,261.50,24.17
138,3200,70.10,22.44,24.58,175.48,286.85,270.87,24.33
138,3264,70.28,22.54,24.71,179.43,295.85,276.98,24.42
138,3328,70.44,22.65,24.81,184.15,302.92,284.28,24.54
138,3392,70.61,22.79,24.96,189.95,313.05,293.25,24.67
138,3456,70.77,22.90,25.09,195.00,322.59,301.07,24.79
138,3520,70.93,22.99,25.20,198.91,331.11,307.12,24.87
138,3584,71.09,23.08,25.29,203.31,338.16,313.91,24.97
138,3648,71.24,23.16,25.37,207.03,344.51,319.68,25.05
138,3712,71.39,23.30,25.53,213.75,357.00,330.07,25.19
138,3776,71.54,23.32,25.56,214.75,359.54,331.61,25.21
138,3840,71.69,23.32,25.58,214.93,361.36,331.90,25.21
138,3904,71.83,23.33,25.58,215.41,361.41,332.64,25.22
138,3968,71.97,23.32,25.59,214.60,362.16,331.38,25.20
138,4032,72.11,23.32,25.58,214.63,361.67,331.44,25.20
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal
155,640,56.12,9.38,11.67,8.67,14.67,12.82,11.08
155,704,56.95,10.46,12.50,11.11,17.76,16.58,12.20
155,768,57.71,11.19,13.24,13.14,21.10,19.72,12.95
155,832,58.40,11.87,13.93,15.39,24.74,23.21,13.66
155,896,59.05,12.53,14.58,17.90,28.72,27.09,14.33
155,960,59.65,13.21,15.15,20.96,32.70,31.83,15.03
155,1024,60.21,13.68,15.69,23.32,37.09,35.48,15.50
155,1088,60.73,14.24,16.21,26.53,41.79,40.45,16.07
155,1152,61.23,14.76,16.70,29.89,46.76,45.64,16.59
155,1216,61.70,15.23,17.17,33.36,52.10,51.01,17.08
155,1280,62.14,15.66,17.60,36.83,57.55,56.38,17.51
155,1344,62.57,16.04,18.00,40.19,63.03,61.57,17.89
155,1408,62.97,16.48,18.39,44.47,68.99,68.19,18.34
155,1472,63.36,16.84,18.76,48.27,75.22,74.07,18.70
155,1536,63.73,17.22,19.13,52.77,81.93,81.04,19.09
155,1600,64.08,17.59,19.49,57.39,88.91,88.18,19.45
155,1664,64.42,17.90,19.81,61.70,95.82,94.86,19.77
155,1728,64.75,18.16,20.14,65.43,103.27,100.62,20.03
155,1792,65.07,18.48,20.44,70.45,110.57,108.39,20.35
155,1856,65.37,18.73,20.72,74.62,117.91,114.84,20.60
155,1920,65.67,19.00,20.99,79.42,125.57,122.26,20.87
155,1984,65.95,19.22,21.23,83.59,132.80,128.71,21.10
155,2048,66.23,19.47,21.48,88.46,140.62,136.25,21.34
155,2112,66.49,19.75,21.72,94.36,148.53,145.38,21.63
155,2176,66.75,19.95,21.96,98.76,157.08,152.17,21.82
155,2240,67.00,20.22,22.17,105.18,165.00,162.11,22.10
155,2304,67.25,20.42,22.38,110.05,173.02,169.64,22.30
155,2368,67.49,20.59,22.60,114.55,181.82,176.61,22.47
155,2432,67.72,20.78,22.80,119.57,190.44,184.37,22.66
155,2496,67.94,20.98,23.00,125.36,199.54,193.34,22.86
155,2560,68.16,21.14,23.19,129.94,208.44,200.42,23.02
155,2624,68.38,21.30,23.33,134.96,215.42,208.18,23.18
155,2688,68.59,21.46,23.50,139.87,224.09,215.77,23.34
155,2752,68.79,21.60,23.69,144.70,233.90,223.25,23.49
155,2816,68.99,21.78,23.86,150.61,243.45,232.39,23.66
155,2880,69.19,21.93,24.02,156.10,252.62,240.89,23.82
155,2944,69.38,22.09,24.18,161.64,261.81,249.46,23.97
155,3008,69.57,22.13,24.23,163.30,264.96,252.03,24.01
155,3072,69.75,22.35,24.42,171.64,276.75,264.93,24.23
155,3136,69.93,22.49,24.60,177.62,288.25,274.18,24.38
155,3200,70.10,22.62,24.75,182.97,298.40,282.46,24.51
155,3264,70.28,22.76,24.88,188.76,307.85,291.42,24.65
155,3328,70.44,22.95,25.10,197.03,323.96,304.21,24.83
155,3392,70.61,23.02,25.21,200.54,331.72,309.63,24.91
155,3456,70.77,23.10,25.29,204.30,338.05,315.45,24.99
155,3520,70.93,23.17,25.36,207.66,343.58,320.65,25.06
155,3584,71.09,23.22,25.41,209.69,347.73,323.79,25.10
155,3648,71.24,23.26,25.46,211.83,351.47,327.10,25.15
155,3712,71.39,23.33,25.53,215.19,357.06,332.30,25.22
155,3776,71.54,23.34,25.55,215.59,358.56,332.92,25.22
155,3840,71.69,23.35,25.56,216.44,359.72,334.24,25.24
155,3904,71.83,23.35,25.57,216.41,360.47,334.18,25.24
155,3968,71.97,23.34,25.57,215.74,360.17,333.15,25.23
155,4032,72.11,23.34,25.57,215.85,360.45,333.32,25.23
