ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
106,2880,69.19,21.34,23.08,136.03,203.43,134.96,21.3,,,1.74
106,2944,69.38,21.48,23.25,140.6,211.19,140.19,21.47,,,1.77
106,3008,69.57,21.62,23.4,145.11,218.68,145.38,21.62,,,1.78
106,3072,69.75,21.79,23.56,150.94,227.19,152.16,21.82,,,1.77
106,3136,69.93,21.94,23.73,156.29,235.81,158.45,22,,,1.79
106,3200,70.1,22.06,23.88,160.57,244.12,163.53,22.14,,,1.82
106,3264,70.28,22.2,24.02,165.85,252.27,169.84,22.3,,,1.82
106,3328,70.44,22.31,24.14,170.05,259.7,174.91,22.43,,,1.83
106,3392,70.61,22.34,24.2,171.46,263.05,176.61,22.47,,,1.86
106,3456,70.77,22.5,24.36,178.03,272.84,184.63,22.66,,,1.86
106,3520,70.93,22.64,24.5,183.75,281.88,191.69,22.83,,,1.86
106,3584,71.09,22.75,24.64,188.51,290.78,197.61,22.96,,,1.89
106,3648,71.24,22.86,24.76,193.05,298.93,203.31,23.08,,,1.9
106,3712,71.39,22.97,24.87,197.95,306.77,209.52,23.21,,,1.9
106,3776,71.54,23.13,25.03,205.41,318.67,219.05,23.41,,,1.9
106,3840,71.69,23.21,25.13,209.51,325.53,224.33,23.51,,,1.92
106,3904,71.83,23.27,25.2,212.49,331.38,228.21,23.58,,,1.93
106,3968,71.97,23.33,25.27,215.04,336.71,231.53,23.65,,,1.94
106,4032,72.11,23.37,25.33,217.18,341.38,234.33,23.7,,,1.96
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw, pwr_msadc_mw_cal, pwr_msadc_dbm_cal,,,
122,640,56.12,9.36,10.88,8.64,12.23,7.39,8.69,,,1.52
122,704,56.95,10.06,11.7,10.15,14.78,8.7,9.4,,,1.64
122,768,57.71,10.88,12.51,12.25,17.82,10.53,10.23,,,1.63
122,832,58.4,11.35,13.21,13.65,20.94,11.76,10.7,,,1.86
