ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
138,960,59.65,6.43,8.12,4.39,6.49
138,1024,60.21,7.4,8.66,5.5,7.35
138,1088,60.73,7.79,9.25,6.02,8.42
138,1152,61.23,8.22,9.74,6.64,9.42
138,1216,61.7,8.83,10.21,7.64,10.5
138,1280,62.14,9.21,10.65,8.34,11.61
138,1344,62.57,9.47,11.12,8.86,12.93
138,1408,62.97,9.92,11.52,9.82,14.18
138,1472,63.36,10.25,11.88,10.59,15.43
138,1536,63.73,10.6,12.14,11.48,16.36
138,1600,64.08,10.92,12.5,12.36,17.78
138,1664,64.42,11.26,12.83,13.36,19.18
138,1728,64.75,11.51,13.22,14.17,20.98
138,1792,65.07,11.66,13.53,14.65,22.56
138,1856,65.37,12.16,13.84,16.46,24.19
138,1920,65.67,12.52,14.2,17.86,26.31
138,1984,65.95,12.69,14.49,18.56,28.09
138,2048,66.23,12.87,14.75,19.37,29.88
138,2112,66.49,13.26,15.02,21.18,31.77
138,2176,66.75,13.5,15.29,22.4,33.78
138,2240,67,13.77,15.53,23.84,35.77
138,2304,67.25,14.03,15.77,25.28,37.76
138,2368,67.49,14.26,16,26.64,39.82
138,2432,67.72,14.43,16.24,27.72,42.04
138,2496,67.94,14.7,16.47,29.49,44.36
138,2560,68.16,14.86,16.69,30.59,46.64
138,2624,68.38,15.12,16.9,32.48,49.03
138,2688,68.59,15.34,17.13,34.21,51.69
138,2752,68.79,15.53,17.34,35.76,54.17
138,2816,68.99,15.73,17.53,37.42,56.58
138,2880,69.19,15.91,17.73,39.01,59.27
138,2944,69.38,16.09,17.92,40.67,61.91
138,3008,69.57,16.27,18.1,42.4,64.57
138,3072,69.75,16.51,18.29,44.76,67.43
138,3136,69.93,16.66,18.47,46.35,70.23
138,3200,70.1,16.85,18.64,48.46,73.08
138,3264,70.28,16.99,18.81,50.01,76.04
138,3328,70.44,17.19,18.99,52.33,79.23
138,3392,70.61,17.34,19.17,54.14,82.58
138,3456,70.77,17.45,19.34,55.61,85.8
138,3520,70.93,17.65,19.49,58.2,88.87
138,3584,71.09,17.81,19.65,60.41,92.31
138,3648,71.24,17.95,19.8,62.44,95.51
138,3712,71.39,18.09,19.95,64.36,98.92
138,3776,71.54,18.23,20.11,66.5,102.54
138,3840,71.69,18.4,20.24,69.2,105.78
138,3904,71.83,18.53,20.39,71.26,109.39
138,3968,71.97,18.65,20.52,73.33,112.8
138,4032,72.11,18.78,20.66,75.51,116.34
ch, pwr_dig, pwr_dig_dbm, pwr_msadc_dbm, pwr_cmp180_dbm, pwr_msadc_mw, pwr_cmp180_mw
155,640,56.12,3.31,4.89,2.14,3.08
155,704,56.95,3.73,5.69,2.36,3.71
155,768,57.71,4.65,6.48,2.92,4.45
155,832,58.4,4.65,7.19,2.92,5.24
155,896,59.05,5.71,7.82,3.73,6.05
155,960,59.65,6,8.45,3.99,7
155,1024,60.21,6.88,8.99,4.87,7.92
155,1088,60.73,7.13,9.5,5.17,8.92
155,1152,61.23,8,9.99,6.31,9.97
155,1216,61.7,8.39,10.43,6.9,11.03
155,1280,62.14,8.91,10.86,7.79,12.19
155,1344,62.57,9.38,11.28,8.67,13.44
155,1408,62.97,9.92,11.67,9.82,14.7
155,1472,63.36,10.25,12.08,10.59,16.13
155,1536,63.73,10.63,12.44,11.55,17.54
155,1600,64.08,10.95,12.8,12.44,19.04
155,1664,64.42,11.16,13.13,13.06,20.54
155,1728,64.75,11.48,13.45,14.06,22.13
155,1792,65.07,11.86,13.76,15.35,23.77
155,1856,65.37,12.2,14.08,16.61,25.59
155,1920,65.67,12.5,14.36,17.79,27.29
155,1984,65.95,12.81,14.65,19.08,29.17
155,2048,66.23,13.12,14.92,20.52,31.03
155,2112,66.49,13.29,15.17,21.33,32.85
155,2176,66.75,13.57,15.42,22.77,34.81
155,2240,67,13.79,15.67,23.91,36.93
155,2304,67.25,14.1,15.91,25.69,39.03
155,2368,67.49,14.33,16.18,27.09,41.49
155,2432,67.72,14.54,16.39,28.45,43.59
155,2496,67.94,14.77,16.64,29.97,46.09
155,2560,68.16,15.02,16.86,31.74,48.51
155,2624,68.38,15.26,17.06,33.55,50.81
155,2688,68.59,15.55,17.28,35.91,53.44
155,2752,68.79,15.72,17.49,37.31,56.1
155,2816,68.99,15.87,17.68,38.6,58.64
155,2880,69.19,16.03,17.87,40.08,61.3
155,2944,69.38,16.25,18.06,42.14,64.04
155,3008,69.57,16.41,18.27,43.77,67.16
155,3072,69.75,16.64,18.44,46.09,69.83
155,3136,69.93,16.78,18.62,47.64,72.79
155,3200,70.1,16.93,18.8,49.3,75.83
155,3264,70.28,17.13,18.98,51.63,79.12
155,3328,70.44,17.3,19.15,53.7,82.19
155,3392,70.61,17.48,19.31,55.98,85.35
155,3456,70.77,17.64,19.48,58.12,88.74
155,3520,70.93,17.81,19.64,60.34,92.02
155,3584,71.09,17.95,19.79,62.44,95.31
155,3648,71.24,18.1,19.95,64.51,98.78
155,3712,71.39,18.24,20.11,66.69,102.63
155,3776,71.54,18.42,20.26,69.49,106.18
155,3840,71.69,18.55,20.41,71.67,109.84
155,3904,71.83,18.69,20.55,73.96,113.4
155,3968,71.97,18.79,20.68,75.73,116.97
155,4032,72.11,18.94,20.82,78.35,120.67
