test_time, BoardNo, ANT, Temp, am, phase, BinVersion,freq, Channel, Rate, BandWidth, SetPwr, CMD, MsPwrAvg, MsEvmAvg, Band1, (0.03 to fch-40), Band2, (fch-40 to fch+40), Band3, (fch+40 to 2fch-80), Band4, (2fch-80 to 2fch+80),Band5, (2fch+80 to 3fch-120), Band6, (3fch-120 to 3fch+120),Band, 7(3fch+120 to 26)
0819_203749,#OK5,ANT,40,0.8,-135,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-24.82,2372.0,11.18,2413.44,-31.87,2452.0,-39.38,4889.6,-38.42,5928.16,-39.0,7253.04,-24.93,25757.63
0819_203815,#OK5,ANT,40,0.8,-120,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-23.29,2372.0,11.4,2413.44,-28.39,2452.0,-40.56,4884.8,-38.05,6038.76,-38.77,7176.96,-25.41,25757.63
0819_203842,#OK5,ANT,40,0.8,-105,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-22.02,2372.0,11.57,2413.2,-27.8,2452.0,-39.77,4847.68,-37.95,6005.58,-38.63,7156.8,-26.07,25235.6
0819_203908,#OK5,ANT,40,0.8,-90,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-23.09,2372.0,12.16,2413.44,-25.5,2452.0,-39.71,4882.24,-38.54,6916.92,-38.4,7235.76,-24.8,25738.98
0819_203935,#OK5,ANT,40,0.8,-75,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-23.16,2372.0,12.48,2413.36,-22.67,2452.0,-39.03,4823.84,-36.51,5359.67,-37.18,7228.56,-25.11,24694.92
0819_204001,#OK5,ANT,40,0.8,-60,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-24.13,2372.0,12.58,2411.04,-19.48,2452.0,-38.85,4834.72,-37.79,5983.46,-38.51,7336.8,-26.19,25347.46
0819_204028,#OK5,ANT,40,0.8,-45,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-26.91,2372.0,12.91,2413.28,-21.23,2452.0,-39.15,4824.48,-38.46,5948.06,-38.6,7297.92,-25.96,25291.53
0819_204055,#OK5,ANT,40,0.8,-30,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-28.95,2372.0,12.98,2413.36,-23.13,2452.0,-39.04,4820.0,-38.06,5972.4,-38.58,7127.28,-25.36,25123.73
0819_204121,#OK5,ANT,40,0.8,-15,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-31.87,2372.0,12.93,2413.36,-26.43,2452.0,-38.82,4824.32,-38.26,6633.78,-38.9,7290.96,-24.5,25328.82
0819_204148,#OK5,ANT,40,0.8,0,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-32.7,2353.02,12.7,2413.44,-29.77,2472.63,-38.95,4825.92,-38.48,6211.29,-38.63,7247.52,-24.72,25440.68
0819_204214,#OK5,ANT,40,0.8,15,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-33.96,2341.16,11.83,2413.44,-30.51,2458.88,-39.48,4897.28,-37.73,6903.65,-37.77,7227.6,-25.54,25869.49
0819_204241,#OK5,ANT,40,0.8,30,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-34.29,2353.02,11.31,2413.44,-31.59,2458.88,-39.35,4903.2,-38.05,6122.81,-38.46,7234.56,-25.46,25720.34
0819_204308,#OK5,ANT,40,0.8,45,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-34.44,2364.88,11.06,2413.44,-32.98,2458.88,-40.23,4834.24,-37.81,5583.08,-38.96,7242.24,-24.95,25571.19
0819_204334,#OK5,ANT,40,0.8,60,testmode_8819h_0805.bin,2412,1,0 3,0 0,28,r 403422c8  [0x403422C8] = 0x00FFD179    ,-33.3,2353.02,10.81,2413.36,-32.68,2470.34,-39.88,4848.96,-37.56,6052.03,-37.73,7137.84,-24.84,25869.49
