BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg,,,
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,42,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x1A3F4D93    ,15.90,-34.94,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,58,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4CC0    ,15.24,-36.94,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,106,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C72    ,14.78,-36.29,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,122,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C81    ,15.78,-36.39,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,138,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C81    ,15.01,-37.83,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,155,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0x133F4C88    ,14.32,-36.65,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,42,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x193F6EC0    ,19.38,-31.49,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,58,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x193F6EAB    ,19.54,-31.41,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,106,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DAC    ,19.69,-28.29,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,122,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D98    ,18.07,-32.44,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,138,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6D98    ,17.32,-32.92,NA,NA,NA
#TT_H2_2,testmode_8820_1120_apc_oft_1.bin,155,5 0,0 0,4000,18,r 403422c8  [0x403422C8] = 0x123F6DA8    ,17.17,-32.00,NA,NA,NA
BoardNo, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,42,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.83,-36.98,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,58,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.37,-35.45,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,106,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C66    ,13.96,-35.88,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,122,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,14.51,-36.37,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,138,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x153F5A8F    ,13.28,-39.03,NA,NA,NA
#TT_H2_1,testmode_8820_1120_apc_oft_1.bin,155,5 11,0 0,4000,12,r 403422c8  [0x403422C8] = 0x1B3F5C72    ,13.21,-39.30,NA,NA,NA
