#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,10,r 403422c8  [0x403422C8] = 0xD43F598A    ,11.35,-42.56,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,12,r 403422c8  [0x403422C8] = 0xD53F5B66    ,13.32,-42.71,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.29,-43.04,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,16,r 403422c8  [0x403422C8] = 0xDE3F5D64    ,17.19,-42.41,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,18,r 403422c8  [0x403422C8] = 0xDE3F5D7E    ,19.09,-38.82,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,20,r 403422c8  [0x403422C8] = 0xDF3F5F8D    ,20.84,-30.30,NA,NA,NA
#A1_ANT1,testmode22_2024_1210_1040.bin,48,5 7,0 0,4000,22,r 403422c8  [0x403422C8] = 0xDF3F5FB1    ,22.42,-22.79,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,0,r 403422c8  [0x403422C8] = 0xC23F5585    ,0.66,-45.10,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,2,r 403422c8  [0x403422C8] = 0xC23F55A6    ,2.66,-44.66,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,4,r 403422c8  [0x403422C8] = 0xC33F5785    ,4.52,-43.67,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,6,r 403422c8  [0x403422C8] = 0xC33F57A7    ,6.56,-43.28,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,8,r 403422c8  [0x403422C8] = 0xD43F597B    ,8.62,-44.15,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,10,r 403422c8  [0x403422C8] = 0xD43F599B    ,10.65,-44.34,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,12,r 403422c8  [0x403422C8] = 0xD53F5B72    ,12.63,-44.13,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,14,r 403422c8  [0x403422C8] = 0xD53F5B90    ,14.66,-44.16,NA,NA,NA
#A1_ANT0,testmode22_2024_1210_1040.bin,52,5 7,0 0,4000,16,r 403422c8  [0x403422C8] = 0xDE3F5D6B    ,16.57,-43.61,NA,NA,NA
