Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,0,2,7,12,12.65,-35.52
42,0,0,2,7,13,12.50,-35.66
42,0,0,2,7,14,12.51,-35.52
42,0,0,2,7,15,12.38,-35.41
42,0,0,3,0,0,13.17,-33.39
42,0,0,3,0,1,13.29,-33.60
42,0,0,3,0,2,13.26,-33.16
42,0,0,3,0,3,13.40,-33.69
42,0,0,3,0,4,13.39,-33.41
42,0,0,3,0,5,13.48,-33.40
42,0,0,3,0,6,13.51,-33.73
42,0,0,3,0,7,13.56,-33.64
42,0,0,3,0,8,13.57,-33.31
42,0,0,3,0,9,13.57,-33.43
42,0,0,3,0,10,13.59,-33.36
42,0,0,3,0,11,13.57,-33.42
42,0,0,3,0,12,13.60,-33.72
42,0,0,3,0,13,13.57,-33.64
42,0,0,3,0,14,13.60,-33.84
42,0,0,3,0,15,13.53,-33.51
42,0,0,3,1,0,13.12,-33.77
42,0,0,3,1,1,13.20,-33.25
42,0,0,3,1,2,13.21,-33.90
42,0,0,3,1,3,13.32,-33.64
42,0,0,3,1,4,13.33,-33.34
42,0,0,3,1,5,13.44,-33.66
42,0,0,3,1,6,13.42,-33.49
42,0,0,3,1,7,13.54,-33.60
42,0,0,3,1,8,13.56,-33.91
42,0,0,3,1,9,13.61,-33.54
42,0,0,3,1,10,13.62,-33.76
42,0,0,3,1,11,13.65,-33.75
42,0,0,3,1,12,13.63,-33.92
42,0,0,3,1,13,13.60,-33.37
42,0,0,3,1,14,13.62,-33.51
42,0,0,3,1,15,13.59,-33.80
42,0,0,3,2,0,13.08,-33.26
42,0,0,3,2,1,13.15,-33.31
42,0,0,3,2,2,13.15,-33.43
42,0,0,3,2,3,13.24,-33.23
42,0,0,3,2,4,13.25,-33.43
42,0,0,3,2,5,13.37,-33.62
42,0,0,3,2,6,13.36,-33.44
42,0,0,3,2,7,13.48,-33.60
42,0,0,3,2,8,13.49,-33.20
