BoardNo, ANT, BinVersion, Channel, Rate, BandWidth, Length, SetPwr, CMD, MsPwrAvg, MsEvmAvg
#A1,ANT0,testmode22_2024_1210_1040.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,16.32,-43.02,NA,NA,NA
#A1,ANT0,testmode22_2024_1210_1040.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D62    ,15.65,-43.32,NA,NA,NA
#A1,ANT0,testmode22_2024_1210_1040.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.58,-42.51,NA,NA,NA
#A1,ANT0,testmode22_2024_1210_1040.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.63,-42.17,NA,NA,NA
#A1,ANT0,testmode22_2024_1210_1040.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.44,-43.16,NA,NA,NA
#A1,ANT0,testmode22_2024_1210_1040.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.40,-42.90,NA,NA,NA
#A1,ANT0,testmode22_2024_1210_1040.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6B    ,19.13,-21.91,NA,NA,NA
#A1,ANT0,testmode22_2024_1210_1040.bin,7,0 3 0,0 0,1000,21,r 403422c8  [0x403422C8] = 0xC0FFD96E    ,21.10,4.07,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,7,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xCC3F496D    ,14.80,-44.78,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,42,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B90    ,16.17,-41.93,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,58,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xDE3F5D62    ,16.06,-42.40,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,106,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,14.95,-43.08,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,122,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.02,-42.75,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,138,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.43,-42.86,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,155,5 11,0 0,10000,15,r 403422c8  [0x403422C8] = 0xD53F5B80    ,15.66,-43.13,NA,NA,NA
#A1,ANT1,testmode22_2024_1210_1040.bin,7,5 0,0 0,2000,19,r 403422c8  [0x403422C8] = 0xD0FFEB6B    ,19.03,-22.77,NA,NA,NA
