Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,test_band
vh_sense_diff,WF,padrv_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_padrv,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_HB
vm_sense,WF,padrv_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_padrv,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_HB
vsw,WF,padrv_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_padrv,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_HB
vl_sense,WF,padrv_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_padrv,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_HB
bg_1v1,WF,padrv_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_padrv,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_HB
bias_vlp_vln_diff,WF,padrv_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_padrv,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF_HB
v1p1,WF,tmx_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_HB
vlo_sense,WF,tmx_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_tmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_HB
v0p5,WF,tmx_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_HB
vh_sense,WF,tmx_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_tmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_HB
vreg3_sense_diff,WF,tmx_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_tmx,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_HB
vref_lo_sense_diff,WF,tmx_hb1,wf_pu_msadc,1'b1,wf_test_enable_hb1_tmx,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF_HB
loft_vi_volt_diff,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_LB
bias_vlp_vln_diff,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_LB
isense_diff,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_LB
bias_vl_diff,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF_LB
bias_vm_sense_diff,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b100,WF1_TX_ON,WF_LB
bias_vh_sense_diff,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b101,WF1_TX_ON,WF_LB
bg_v1v_diff,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b110,WF1_TX_ON,WF_LB
vsw,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b111,WF1_TX_ON,WF_LB
v13_sense,WF,pa_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b111,WF1_TX_ON,WF_LB
vh_sense_diff,WF,padrv_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_padrv,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_LB
vm_sense,WF,padrv_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_padrv,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_LB
vsw,WF,padrv_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_padrv,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_LB
vl_sense,WF,padrv_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_padrv,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_LB
bg_1v1,WF,padrv_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_padrv,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_LB
bias_vlp_vln_diff,WF,padrv_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_padrv,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF_LB
v1p1,WF,tmx_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_LB
vlo_sense,WF,tmx_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_tmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF1_TX_ON,WF_LB
v0p5,WF,tmx_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_tmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_LB
vh_sense,WF,tmx_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_tmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF1_TX_ON,WF_LB
vreg3_sense_diff,WF,tmx_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_tmx,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b010,WF1_TX_ON,WF_LB
vref_lo_sense_diff,WF,tmx_lb1,wf_pu_msadc,1'b1,wf_test_enable_lb1_tmx,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,3'b011,WF1_TX_ON,WF_LB
,,,,,,,,,,,,
vb_sense,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF
vtst<3>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF0_TX_ON,WF
vbcscd_sense,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF
vtst<1>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF0_TX_ON,WF
dvdd_reg,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF
vtst<2>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF0_TX_ON,WF
v1p1,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF
vtst<0>,WF,dac0,wf_pu_msadc,1'b1,wf_test_enable_dac0,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF0_TX_ON,WF
