Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,10,2,7,15,12.44,-35.46
42,0,12,2,7,15,12.49,-35.84
42,0,14,2,7,15,12.46,-35.29
58,0,0,2,7,15,12.31,-37.02
58,0,2,2,7,15,12.32,-37.30
58,0,4,2,7,15,12.27,-36.08
58,0,6,2,7,15,12.29,-36.26
58,0,8,2,7,15,12.34,-36.58
58,0,10,2,7,15,12.33,-36.29
58,0,12,2,7,15,12.33,-35.97
58,0,14,2,7,15,12.36,-36.61
106,0,0,2,7,15,13.11,-36.38
106,0,2,2,7,15,13.16,-37.06
106,0,4,2,7,15,13.19,-37.19
106,0,6,2,7,15,13.24,-37.46
106,0,8,2,7,15,13.26,-37.20
106,0,10,2,7,15,13.22,-36.57
106,0,12,2,7,15,13.23,-37.00
106,0,14,2,7,15,13.25,-37.48
122,0,0,2,7,15,12.74,-38.41
122,0,2,2,7,15,12.77,-38.46
122,0,4,2,7,15,12.78,-38.00
122,0,6,2,7,15,12.79,-38.20
122,0,8,2,7,15,12.82,-38.96
122,0,10,2,7,15,12.80,-38.95
122,0,12,2,7,15,12.82,-38.93
122,0,14,2,7,15,12.77,-38.41
138,0,0,2,7,15,12.80,-38.09
138,0,2,2,7,15,12.83,-38.58
138,0,4,2,7,15,12.84,-38.47
138,0,6,2,7,15,12.83,-38.68
138,0,8,2,7,15,12.82,-38.52
138,0,10,2,7,15,12.81,-38.22
138,0,12,2,7,15,12.83,-38.22
138,0,14,2,7,15,12.80,-38.27
155,0,0,2,7,15,12.02,-38.57
155,0,2,2,7,15,12.04,-38.45
155,0,4,2,7,15,12.05,-38.66
155,0,6,2,7,15,11.97,-38.56
155,0,8,2,7,15,11.99,-38.51
155,0,10,2,7,15,11.99,-38.82
155,0,12,2,7,15,11.98,-38.81
155,0,14,2,7,15,12.00,-38.84
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,4,0,7,15,5.14,-37.81
42,0,4,1,7,15,10.99,-38.44
42,0,4,2,7,15,12.44,-35.80
42,0,4,3,7,15,13.13,-34.34
42,0,4,4,7,15,13.56,-33.76
42,0,4,5,7,15,13.82,-34.04
42,0,4,6,7,15,13.94,-33.61
42,0,4,7,7,15,14.06,-33.91
58,0,4,0,7,15,5.19,-38.13
58,0,4,1,7,15,10.91,-38.79
58,0,4,2,7,15,12.30,-36.46
58,0,4,3,7,15,12.98,-35.50
58,0,4,4,7,15,13.43,-34.62
58,0,4,5,7,15,13.71,-35.03
58,0,4,6,7,15,13.85,-34.68
58,0,4,7,7,15,13.93,-34.94
106,0,4,0,7,15,5.77,-36.11
106,0,4,1,7,15,11.81,-38.52
106,0,4,2,7,15,13.20,-36.87
106,0,4,3,7,15,13.78,-36.08
106,0,4,4,7,15,14.15,-36.06
106,0,4,5,7,15,14.30,-35.19
106,0,4,6,7,15,14.42,-35.75
106,0,4,7,7,15,14.45,-35.97
122,0,4,0,7,15,5.69,-35.11
122,0,4,1,7,15,11.49,-38.57
122,0,4,2,7,15,12.83,-39.06
122,0,4,3,7,15,13.33,-37.71
122,0,4,4,7,15,13.66,-37.37
122,0,4,5,7,15,13.84,-36.85
122,0,4,6,7,15,13.90,-37.21
122,0,4,7,7,15,13.95,-36.62
138,0,4,0,7,15,6.10,-36.86
138,0,4,1,7,15,11.71,-37.77
138,0,4,2,7,15,12.84,-38.31
138,0,4,3,7,15,13.38,-38.40
138,0,4,4,7,15,13.70,-38.34
138,0,4,5,7,15,13.82,-38.09
138,0,4,6,7,15,13.85,-37.83
138,0,4,7,7,15,13.87,-37.72
155,0,4,0,7,15,4.73,-37.61
155,0,4,1,7,15,10.66,-38.63
155,0,4,2,7,15,12.06,-38.99
155,0,4,3,7,15,12.59,-38.95
155,0,4,4,7,15,13.00,-38.70
155,0,4,5,7,15,13.18,-39.12
155,0,4,6,7,15,13.22,-39.18
155,0,4,7,7,15,13.27,-38.59
Transferring testmode_8820h_test.bin...
ch, pa_vh_vbit, avss_hd1, dtmx_vh_vbit, dtmx_vlo_vbit, dtmx_dac_cscd_vbit, ms_pwr, ms_evm
42,0,4,2,0,15,13.46,-35.13
42,0,4,2,1,15,13.47,-35.14
42,0,4,2,2,15,13.39,-35.24
42,0,4,2,3,15,13.29,-35.48
42,0,4,2,4,15,13.11,-34.71
42,0,4,2,5,15,12.95,-35.42
42,0,4,2,6,15,12.74,-35.73
42,0,4,2,7,15,12.45,-36.05
58,0,4,2,0,15,13.39,-35.84
58,0,4,2,1,15,13.35,-35.39
58,0,4,2,2,15,13.26,-35.41
58,0,4,2,3,15,13.18,-35.84
